# t,Benzaldehyde(dcm),NButylamine(dcm),A_N(dcm),A_N_N(dcm),Water(dcm),A_N_W(dcm),A_N_N_W(dcm),A_N_W_W(dcm),TS1_#(dcm),Hemiaminal(dcm),TS2_#(dcm),I_W(dcm),TS1N_#(dcm),Int_N(dcm),TS2N_#(dcm),I_N_W(dcm),TS1W_#(dcm),Int_W(dcm),TS2W_#(dcm),I_W_W(dcm),TS1NW_#(dcm),Int_N_W(dcm),TS2NW_#(dcm),I_N_W_W(dcm),TS1WW_#(dcm),Int_W_W(dcm),TS2WW_#(dcm),I_W_W_W(dcm),Imine(dcm)
6.396432664574853771e-04,5.999761485905913405e-02,5.999751055632682878e-02,2.278017489107678914e-06,1.039476485500775218e-07,9.999965070401153639e-04,1.501878381302586962e-09,1.012888272902214019e-11,2.816130578916697177e-11,0.000000000000000000e+00,8.622894980146202867e-18,0.000000000000000000e+00,6.201844765899273256e-19,0.000000000000000000e+00,2.031846575787618439e-10,0.000000000000000000e+00,9.054608905067589453e-19,0.000000000000000000e+00,7.984189586516867495e-10,0.000000000000000000e+00,1.209266767257069866e-14,0.000000000000000000e+00,1.416362042489976440e-10,0.000000000000000000e+00,1.340159225673547539e-13,0.000000000000000000e+00,3.840862433184075617e-10,0.000000000000000000e+00,1.081395664571594172e-10,2.288201165882550616e-14
7.592149146177618697e-04,5.999718039218939619e-02,5.999706255734842814e-02,2.698425342860135800e-06,1.173777454649403109e-07,9.999958545084430047e-04,1.658745608132906090e-09,1.014188858223697137e-11,2.813566054998068405e-11,0.000000000000000000e+00,1.213177620271547712e-17,0.000000000000000000e+00,1.240122765074807493e-18,0.000000000000000000e+00,2.768033527931619175e-10,0.000000000000000000e+00,1.478516834385401265e-18,0.000000000000000000e+00,1.071174061392305263e-09,0.000000000000000000e+00,1.949294952699355469e-14,0.000000000000000000e+00,1.699575400975067085e-10,0.000000000000000000e+00,1.927245375224572719e-13,0.000000000000000000e+00,4.393057852709708715e-10,0.000000000000000000e+00,1.502078304577082348e-10,3.831132956783781602e-14
7.709203905950730209e-04,5.999713803009276009e-02,5.999701894942459368e-02,2.739490035205879136e-06,1.186131149798754484e-07,9.999957906342941960e-04,1.672678462196952646e-09,1.013342790258309075e-11,2.810249339350798614e-11,0.000000000000000000e+00,1.250711092138766222e-17,0.000000000000000000e+00,1.319344319831753966e-18,0.000000000000000000e+00,2.844815336508969040e-10,0.000000000000000000e+00,1.544319335257651856e-18,0.000000000000000000e+00,1.099294544553677451e-09,0.000000000000000000e+00,2.033513278267516050e-14,0.000000000000000000e+00,1.727391858007438207e-10,0.000000000000000000e+00,1.990438462228585370e-13,0.000000000000000000e+00,4.444451997807307263e-10,0.000000000000000000e+00,1.546227091831734968e-10,4.009841837123233324e-14
9.011386765162897154e-04,5.999666873822422086e-02,5.999653667288404324e-02,3.195223507926179027e-06,1.314762263083032157e-07,9.999950801234289924e-04,1.812580742475672524e-09,1.003905538134180796e-11,2.777043771592868631e-11,0.000000000000000000e+00,1.706426192498128104e-17,0.000000000000000000e+00,2.476007405928140180e-18,0.000000000000000000e+00,3.751218680157471005e-10,0.000000000000000000e+00,2.402820965602948768e-18,0.000000000000000000e+00,1.427167952250394810e-09,0.000000000000000000e+00,3.121246285222348042e-14,0.000000000000000000e+00,2.036767118545842106e-10,0.000000000000000000e+00,2.762360079861695685e-13,0.000000000000000000e+00,4.982550639768839086e-10,0.000000000000000000e+00,2.070586319638571111e-10,6.360663194592901897e-14
9.636504882438413303e-04,5.999644469647145290e-02,5.999630693042847657e-02,3.413289168268885619e-06,1.371153923679883154e-07,9.999947390770861332e-04,1.870923066043197064e-09,1.005175234464821939e-11,2.783553172558943649e-11,0.000000000000000000e+00,1.950021059998469229e-17,0.000000000000000000e+00,3.237785656871065744e-18,0.000000000000000000e+00,4.218154431209199858e-10,0.000000000000000000e+00,2.902342200994481199e-18,0.000000000000000000e+00,1.593354038458782699e-09,0.000000000000000000e+00,3.746411634868354036e-14,0.000000000000000000e+00,2.184656241542458973e-10,0.000000000000000000e+00,3.177922074074350099e-13,0.000000000000000000e+00,5.218170456305304494e-10,0.000000000000000000e+00,2.342727152781543760e-10,7.740860736198372002e-14
1.069592942233452137e-03,5.999606676742014894e-02,5.999592005805533951e-02,3.781808216151038780e-06,1.459501364493301438e-07,9.999941611366039863e-04,1.958533020294280328e-09,1.007920254740034659e-11,2.793195945270960392e-11,0.000000000000000000e+00,2.399508211872031742e-17,0.000000000000000000e+00,4.900851800383202407e-18,0.000000000000000000e+00,5.052380110705227053e-10,0.000000000000000000e+00,3.887823518355087965e-18,0.000000000000000000e+00,1.886227504311079277e-09,0.000000000000000000e+00,4.966668952268977049e-14,0.000000000000000000e+00,2.435162797207200705e-10,0.000000000000000000e+00,3.948718706911624554e-13,0.000000000000000000e+00,5.589922096930509261e-10,0.000000000000000000e+00,2.831596658279281657e-10,1.048192630869227675e-13
1.156380585892609423e-03,5.999575876735398910e-02,5.999560534858474486e-02,4.082716605346632021e-06,1.525669103390458053e-07,9.999936877344757242e-04,2.021092432574701778e-09,1.008618046758665752e-11,2.795413938846452968e-11,0.000000000000000000e+00,2.801979900938184404e-17,0.000000000000000000e+00,6.665341939430181744e-18,0.000000000000000000e+00,5.772619010417483847e-10,0.000000000000000000e+00,4.832791595590085102e-18,0.000000000000000000e+00,2.135326742008577192e-09,0.000000000000000000e+00,6.123111714230041210e-14,0.000000000000000000e+00,2.640465820627550264e-10,0.000000000000000000e+00,4.642446177255543702e-13,0.000000000000000000e+00,5.871044101797009233e-10,0.000000000000000000e+00,3.256011424305706623e-10,1.312724303304225658e-13
1.269537188769115409e-03,5.999535927565302629e-02,5.999519787553711514e-02,4.473728578041317581e-06,1.604229046457258818e-07,9.999930705538681054e-04,2.091650969612731293e-09,1.008370290787679587e-11,2.794192840440732266e-11,0.000000000000000000e+00,3.372909916338629687e-17,0.000000000000000000e+00,9.614314778894447954e-18,0.000000000000000000e+00,6.757471307982440804e-10,0.000000000000000000e+00,6.260412542704924520e-18,0.000000000000000000e+00,2.471080091300950685e-09,0.000000000000000000e+00,7.849626465874208279e-14,0.000000000000000000e+00,2.908173152632800777e-10,0.000000000000000000e+00,5.631187364081328055e-13,0.000000000000000000e+00,6.207980387609375425e-10,0.000000000000000000e+00,3.839319805662971192e-10,1.714574874187869814e-13
1.349110683541377732e-03,5.999507971796406991e-02,5.999491318282380165e-02,4.747800796038285485e-06,1.654669276120669690e-07,9.999926365791885624e-04,2.134704779377290447e-09,1.007993832398285038e-11,2.792758579682774271e-11,0.000000000000000000e+00,3.805597424924277115e-17,0.000000000000000000e+00,1.219227634157678312e-17,0.000000000000000000e+00,7.478554698266341351e-10,0.000000000000000000e+00,7.402661796478306816e-18,0.000000000000000000e+00,2.713727305024354870e-09,0.000000000000000000e+00,9.216072676343982205e-14,0.000000000000000000e+00,3.096388861323343897e-10,0.000000000000000000e+00,6.383569376286968303e-13,0.000000000000000000e+00,6.426139070547341579e-10,0.000000000000000000e+00,4.268300763420465048e-10,2.037534479834677225e-13
1.506857992445512391e-03,5.999452873610278819e-02,5.999435306480377372e-02,5.288951818603164558e-06,1.744164536808245891e-07,9.999917763462132150e-04,2.206606508235462513e-09,1.008050082023391272e-11,2.793188514819251188e-11,0.000000000000000000e+00,4.739224502673739961e-17,0.000000000000000000e+00,1.873685858620032591e-17,0.000000000000000000e+00,8.970352136069454622e-10,0.000000000000000000e+00,1.002163022778971072e-17,0.000000000000000000e+00,3.208151325818014561e-09,0.000000000000000000e+00,1.230849721412226417e-13,0.000000000000000000e+00,3.469281760231911893e-10,0.000000000000000000e+00,8.014391114897135467e-13,0.000000000000000000e+00,6.816701589362036223e-10,0.000000000000000000e+00,5.160184063428519039e-10,2.781490426473739834e-13
