# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
4.130710945861194764e-09,8.105127468204428309e-01,4.105127468204428087e-01,0.000000000000000000e+00,8.948725317955717740e-02,1.894872531795571691e-01
4.326958568273589851e-09,8.068826657838490402e-01,4.068826657838489069e-01,0.000000000000000000e+00,9.311733421615105144e-02,1.931173342161510431e-01
4.532529798609000467e-09,8.031317166898419568e-01,4.031317166898418236e-01,0.000000000000000000e+00,9.686828331015813476e-02,1.968682833101581542e-01
4.747867595939406484e-09,7.992579968811515112e-01,3.992579968811513780e-01,0.000000000000000000e+00,1.007420031188485665e-01,2.007420031188485721e-01
4.897646493338822122e-09,7.965963479880199261e-01,3.965963479880198483e-01,0.000000000000000000e+00,1.034036520119801239e-01,2.034036520119801295e-01
4.973435964059075289e-09,7.952596299512754152e-01,3.952596299512753930e-01,0.000000000000000000e+00,1.047403700487246070e-01,2.047403700487246125e-01
5.209720951306810920e-09,7.911351839410458719e-01,3.911351839410458497e-01,0.000000000000000000e+00,1.088648160589541503e-01,2.088648160589541558e-01
5.457231697889164021e-09,7.868834032828552205e-01,3.868834032828551428e-01,0.000000000000000000e+00,1.131165967171448572e-01,2.131165967171448350e-01
5.716501532961350692e-09,7.825032122202997265e-01,3.825032122202995932e-01,0.000000000000000000e+00,1.174967877797003513e-01,2.174967877797003568e-01
5.988089123829824271e-09,7.779937136142193177e-01,3.779937136142192400e-01,0.000000000000000000e+00,1.220062863857807461e-01,2.220062863857807378e-01
6.272579679752788478e-09,7.733541818098645937e-01,3.733541818098644605e-01,0.000000000000000000e+00,1.266458181901355118e-01,2.266458181901355173e-01
6.530195324451763104e-09,7.692254790949121235e-01,3.692254790949121568e-01,0.000000000000000000e+00,1.307745209050878710e-01,2.307745209050878488e-01
6.570586212932550511e-09,7.685842727550483700e-01,3.685842727550483477e-01,0.000000000000000000e+00,1.314157272449516523e-01,2.314157272449516300e-01
6.882750859416843607e-09,7.636836118754869451e-01,3.636836118754868674e-01,0.000000000000000000e+00,1.363163881245131326e-01,2.363163881245131104e-01
7.209746262755563338e-09,7.586525238475064770e-01,3.586525238475064548e-01,0.000000000000000000e+00,1.413474761524935175e-01,2.413474761524934953e-01
7.552277023393747376e-09,7.534916453377927814e-01,3.534916453377927037e-01,0.000000000000000000e+00,1.465083546622072963e-01,2.465083546622072741e-01
7.911081216925114477e-09,7.482018406341491845e-01,3.482018406341491623e-01,0.000000000000000000e+00,1.517981593658508377e-01,2.517981593658508155e-01
8.162744155564704087e-09,7.445605530216186096e-01,3.445605530216185319e-01,0.000000000000000000e+00,1.554394469783814681e-01,2.554394469783814459e-01
8.286931984475998551e-09,7.427843172079043876e-01,3.427843172079043654e-01,0.000000000000000000e+00,1.572156827920956068e-01,2.572156827920956124e-01
8.680639198648445685e-09,7.372404065263137296e-01,3.372404065263137629e-01,0.000000000000000000e+00,1.627595934736862093e-01,2.627595934736862149e-01
9.093051208610432895e-09,7.315718438605142149e-01,3.315718438605142482e-01,0.000000000000000000e+00,1.684281561394857518e-01,2.684281561394857296e-01
9.525056668094820697e-09,7.257812982455333906e-01,3.257812982455333128e-01,0.000000000000000000e+00,1.742187017544666316e-01,2.742187017544666094e-01
9.795292986677644243e-09,7.222334303800309607e-01,3.222334303800309385e-01,0.000000000000000000e+00,1.777665696199690337e-01,2.777665696199690393e-01
9.977586450245245589e-09,7.198716684706923941e-01,3.198716684706923719e-01,0.000000000000000000e+00,1.801283315293075726e-01,2.801283315293075504e-01
1.045161565343525854e-08,7.138459945295386744e-01,3.138459945295386522e-01,0.000000000000000000e+00,1.861540054704613201e-01,2.861540054704613256e-01
1.094816570238263556e-08,7.077077951757270169e-01,3.077077951757270502e-01,0.000000000000000000e+00,1.922922048242729220e-01,2.922922048242729276e-01
1.142784181779058605e-08,7.019401127740847457e-01,3.019401127740847235e-01,0.000000000000000000e+00,1.980598872259152488e-01,2.980598872259152543e-01
1.146830654908658726e-08,7.014606540830147230e-01,3.014606540830147008e-01,0.000000000000000000e+00,1.985393459169852437e-01,2.985393459169852770e-01
1.201315897832997974e-08,6.951094312179417756e-01,2.951094312179418089e-01,0.000000000000000000e+00,2.048905687820581634e-01,3.048905687820581689e-01
1.258389702271469955e-08,6.886591512626126788e-01,2.886591512626126566e-01,0.000000000000000000e+00,2.113408487373873157e-01,3.113408487373873212e-01
1.306039064890352621e-08,6.834263965750542180e-01,2.834263965750542513e-01,0.000000000000000000e+00,2.165736034249457209e-01,3.165736034249457265e-01
1.318175049243389645e-08,6.821151201234987305e-01,2.821151201234988193e-01,0.000000000000000000e+00,2.178848798765011530e-01,3.178848798765011585e-01
1.380800762523216461e-08,6.754823532642424411e-01,2.754823532642424189e-01,0.000000000000000000e+00,2.245176467357575256e-01,3.245176467357575589e-01
1.446401786226391169e-08,6.687673558554024789e-01,2.687673558554025122e-01,0.000000000000000000e+00,2.312326441445974601e-01,3.312326441445974656e-01
1.469293948001646636e-08,6.664782029998137514e-01,2.664782029998138402e-01,0.000000000000000000e+00,2.335217970001861598e-01,3.335217970001861376e-01
1.515119475583081551e-08,6.619771748941072342e-01,2.619771748941072120e-01,0.000000000000000000e+00,2.380228251058927325e-01,3.380228251058927658e-01
1.587101901526445328e-08,6.551186340568123656e-01,2.551186340568123989e-01,0.000000000000000000e+00,2.448813659431876288e-01,3.448813659431875789e-01
1.632548831112940817e-08,6.509163358788369047e-01,2.509163358788369380e-01,0.000000000000000000e+00,2.490836641211630342e-01,3.490836641211630398e-01
1.662504169751684023e-08,6.481986321629624737e-01,2.481986321629624515e-01,0.000000000000000000e+00,2.518013678370375485e-01,3.518013678370375263e-01
1.741488754933410024e-08,6.412248930980541939e-01,2.412248930980541717e-01,0.000000000000000000e+00,2.587751069019458283e-01,3.587751069019458061e-01
1.795803714224234833e-08,6.365851873577634823e-01,2.365851873577635156e-01,0.000000000000000000e+00,2.634148126422364844e-01,3.634148126422364622e-01
1.824225850821476724e-08,6.342060747939137766e-01,2.342060747939138099e-01,0.000000000000000000e+00,2.657939252060861901e-01,3.657939252060861679e-01
1.910893736969657821e-08,6.271505206906352603e-01,2.271505206906353491e-01,0.000000000000000000e+00,2.728494793093646509e-01,3.728494793093646287e-01
1.959058597335528849e-08,6.233540245149660208e-01,2.233540245149660819e-01,0.000000000000000000e+00,2.766459754850339459e-01,3.766459754850339237e-01
2.001679162887386383e-08,6.200659643249797348e-01,2.200659643249797959e-01,0.000000000000000000e+00,2.799340356750201764e-01,3.799340356750201542e-01
2.096777750442314957e-08,6.129621450939825023e-01,2.129621450939825911e-01,0.000000000000000000e+00,2.870378549060174089e-01,3.870378549060173867e-01
2.122313480446822864e-08,6.111075381890704872e-01,2.111075381890706038e-01,0.000000000000000000e+00,2.888924618109294240e-01,3.888924618109293463e-01
2.196394415380782527e-08,6.058486343129909635e-01,2.058486343129910523e-01,0.000000000000000000e+00,2.941513656870089477e-01,3.941513656870089255e-01
2.285568363558117211e-08,5.997484546469484812e-01,1.997484546469485422e-01,0.000000000000000000e+00,3.002515453530514855e-01,4.002515453530514633e-01
2.300743808874467368e-08,5.987343832847199510e-01,1.987343832847199843e-01,0.000000000000000000e+00,3.012656167152800157e-01,4.012656167152799935e-01
2.410050780044660853e-08,5.916284785191222584e-01,1.916284785191223194e-01,0.000000000000000000e+00,3.083715214808776528e-01,4.083715214808776306e-01
2.448823246669411226e-08,5.891890353785864676e-01,1.891890353785865841e-01,0.000000000000000000e+00,3.108109646214133881e-01,4.108109646214133659e-01
2.524550860460792746e-08,5.845416292341729658e-01,1.845416292341730546e-01,0.000000000000000000e+00,3.154583707658269454e-01,4.154583707658269232e-01
2.612078129780705242e-08,5.793554392956022925e-01,1.793554392956023535e-01,0.000000000000000000e+00,3.206445607043976742e-01,4.206445607043976520e-01
2.644490771657194642e-08,5.774833426959281590e-01,1.774833426959282756e-01,0.000000000000000000e+00,3.225166573040717521e-01,4.225166573040717299e-01
2.770128956761682931e-08,5.704629482237348892e-01,1.704629482237349225e-01,0.000000000000000000e+00,3.295370517762650775e-01,4.295370517762650553e-01
2.775333012891999257e-08,5.701800242085994785e-01,1.701800242085995951e-01,0.000000000000000000e+00,3.298199757914004326e-01,4.298199757914004104e-01
