# t,CH4,Cl·,H3CHCl‡,CH3·,HCl
7.586417910494882871e-10,7.636836118754737335e-01,3.636836118754737668e-01,0.000000000000000000e+00,1.363163881245262332e-01,2.363163881245261833e-01
7.946844117284579856e-10,7.586525238474969290e-01,3.586525238474968513e-01,0.000000000000000000e+00,1.413474761525031209e-01,2.413474761525030710e-01
8.324393958979902357e-10,7.534916453377941137e-01,3.534916453377940915e-01,0.000000000000000000e+00,1.465083546622058808e-01,2.465083546622058308e-01
8.719880969299700478e-10,7.482018406341572891e-01,3.482018406341572669e-01,0.000000000000000000e+00,1.517981593658427053e-01,2.517981593658426553e-01
8.997272998170112307e-10,7.445605530216191648e-01,3.445605530216191981e-01,0.000000000000000000e+00,1.554394469783808019e-01,2.554394469783807242e-01
9.134157332466377258e-10,7.427843172079389156e-01,3.427843172079387823e-01,0.000000000000000000e+00,1.572156827920611621e-01,2.572156827920611399e-01
9.568115719468339796e-10,7.372404065263004069e-01,3.372404065263003847e-01,0.000000000000000000e+00,1.627595934736995875e-01,2.627595934736995376e-01
1.002269121156219518e-09,7.315718438604921214e-01,3.315718438604920992e-01,0.000000000000000000e+00,1.684281561395078453e-01,2.684281561395078231e-01
1.049886331515939135e-09,7.257812982455262851e-01,3.257812982455262629e-01,0.000000000000000000e+00,1.742187017544736816e-01,2.742187017544736594e-01
1.079672759780413477e-09,7.222334303800364008e-01,3.222334303800363231e-01,0.000000000000000000e+00,1.777665696199635936e-01,2.777665696199635992e-01
1.099765807243892480e-09,7.198716684707033853e-01,3.198716684707033076e-01,0.000000000000000000e+00,1.801283315292966369e-01,2.801283315292966147e-01
1.152015027223400259e-09,7.138459945295431153e-01,3.138459945295430376e-01,0.000000000000000000e+00,1.861540054704569069e-01,2.861540054704568847e-01
1.206746576595661737e-09,7.077077951757211327e-01,3.077077951757211660e-01,0.000000000000000000e+00,1.922922048242788062e-01,2.922922048242788118e-01
1.259618219743815723e-09,7.019401127740670931e-01,3.019401127740670154e-01,0.000000000000000000e+00,1.980598872259329291e-01,2.980598872259329624e-01
1.264078389355032083e-09,7.014606540829974035e-01,3.014606540829973813e-01,0.000000000000000000e+00,1.985393459170025909e-01,2.985393459170025965e-01
1.324134002469857798e-09,6.951094312179415535e-01,2.951094312179415868e-01,0.000000000000000000e+00,2.048905687820583854e-01,3.048905687820583910e-01
1.387042822076440420e-09,6.886591512626226708e-01,2.886591512626226486e-01,0.000000000000000000e+00,2.113408487373772959e-01,3.113408487373773292e-01
1.439563679707217969e-09,6.834263965750864145e-01,2.834263965750863368e-01,0.000000000000000000e+00,2.165736034249136355e-01,3.165736034249135855e-01
1.452940402319719743e-09,6.821151201235128303e-01,2.821151201235126971e-01,0.000000000000000000e+00,2.178848798764872474e-01,3.178848798764872252e-01
1.521968737441509934e-09,6.754823532642154627e-01,2.754823532642154404e-01,0.000000000000000000e+00,2.245176467357845318e-01,3.245176467357844818e-01
1.594276567745675600e-09,6.687673558553911546e-01,2.687673558553911324e-01,0.000000000000000000e+00,2.312326441446088121e-01,3.312326441446087899e-01
1.619509139670620215e-09,6.664782029998131963e-01,2.664782029998131185e-01,0.000000000000000000e+00,2.335217970001867982e-01,3.335217970001868037e-01
1.670019700099523989e-09,6.619771748941220002e-01,2.619771748941219225e-01,0.000000000000000000e+00,2.380228251058780498e-01,3.380228251058780553e-01
1.749361343662069212e-09,6.551186340568477817e-01,2.551186340568476485e-01,0.000000000000000000e+00,2.448813659431522960e-01,3.448813659431522738e-01
1.799454599634022461e-09,6.509163358788276899e-01,2.509163358788276121e-01,0.000000000000000000e+00,2.490836641211723046e-01,3.490836641211723101e-01
1.832472461562435382e-09,6.481986321629427117e-01,2.481986321629426617e-01,0.000000000000000000e+00,2.518013678370573105e-01,3.518013678370572883e-01
1.919532139286477631e-09,6.412248930980474215e-01,2.412248930980473993e-01,0.000000000000000000e+00,2.587751069019525452e-01,3.587751069019525230e-01
1.979400059597424708e-09,6.365851873577736963e-01,2.365851873577735631e-01,0.000000000000000000e+00,2.634148126422263814e-01,3.634148126422263592e-01
2.010727970565003234e-09,6.342060747939258780e-01,2.342060747939258558e-01,0.000000000000000000e+00,2.657939252060740887e-01,3.657939252060740665e-01
2.106256461595558271e-09,6.271505206906408114e-01,2.271505206906406782e-01,0.000000000000000000e+00,2.728494793093592663e-01,3.728494793093592441e-01
2.159345519560826954e-09,6.233540245149415959e-01,2.233540245149414349e-01,0.000000000000000000e+00,2.766459754850584818e-01,3.766459754850584596e-01
2.206323454468297063e-09,6.200659643249526454e-01,2.200659643249525121e-01,0.000000000000000000e+00,2.799340356750474323e-01,3.799340356750474101e-01
2.311144570708826610e-09,6.129621450939861660e-01,2.129621450939860883e-01,0.000000000000000000e+00,2.870378549060138562e-01,3.870378549060138340e-01
2.339290979524229200e-09,6.111075381890828107e-01,2.111075381890827329e-01,0.000000000000000000e+00,2.888924618109172116e-01,3.888924618109171893e-01
2.420945675893232914e-09,6.058486343130002894e-01,2.058486343130001561e-01,0.000000000000000000e+00,2.941513656869997884e-01,3.941513656869997662e-01
2.519236439487631446e-09,5.997484546469374900e-01,1.997484546469373012e-01,0.000000000000000000e+00,3.002515453530626988e-01,4.002515453530626766e-01
2.535963366336979464e-09,5.987343832847022984e-01,1.987343832847021097e-01,0.000000000000000000e+00,3.012656167152978348e-01,4.012656167152978126e-01
2.656445478905803407e-09,5.916284785191133766e-01,1.916284785191131879e-01,0.000000000000000000e+00,3.083715214808867566e-01,4.083715214808867899e-01
2.699181899451033692e-09,5.891890353785894652e-01,1.891890353785893319e-01,0.000000000000000000e+00,3.108109646214106125e-01,4.108109646214105903e-01
2.782651625047731426e-09,5.845416292341865105e-01,1.845416292341863773e-01,0.000000000000000000e+00,3.154583707658135672e-01,4.154583707658136005e-01
2.879127359414435938e-09,5.793554392956088428e-01,1.793554392956087928e-01,0.000000000000000000e+00,3.206445607043911794e-01,4.206445607043911572e-01
2.914853750196372756e-09,5.774833426959187221e-01,1.774833426959186167e-01,0.000000000000000000e+00,3.225166573040813556e-01,4.225166573040813334e-01
3.053336719751298216e-09,5.704629482237290050e-01,1.704629482237289273e-01,0.000000000000000000e+00,3.295370517762710172e-01,4.295370517762709950e-01
3.059072819377838185e-09,5.701800242085948156e-01,1.701800242085947379e-01,0.000000000000000000e+00,3.298199757914052621e-01,4.298199757914052399e-01
3.198398932897933007e-09,5.634912183067644076e-01,1.634912183067642466e-01,0.000000000000000000e+00,3.365087816932357256e-01,4.365087816932357034e-01
3.239018279341240431e-09,5.616054213259922268e-01,1.616054213259921768e-01,0.000000000000000000e+00,3.383945786740077399e-01,4.383945786740077177e-01
3.350352965589682572e-09,5.565778119081846720e-01,1.565778119081845943e-01,0.000000000000000000e+00,3.434221880918153502e-01,4.434221880918153280e-01
3.418963739304642677e-09,5.535788784855434352e-01,1.535788784855433853e-01,0.000000000000000000e+00,3.464211215144565870e-01,4.464211215144565648e-01
3.509526244077754932e-09,5.497318887387502295e-01,1.497318887387501796e-01,0.000000000000000000e+00,3.502681112612497372e-01,4.502681112612497150e-01
3.598909199268044923e-09,5.460546541297406353e-01,1.460546541297406131e-01,0.000000000000000000e+00,3.539453458702593314e-01,4.539453458702593092e-01
3.676261750439982765e-09,5.429644015043810779e-01,1.429644015043810557e-01,0.000000000000000000e+00,3.570355984956188888e-01,4.570355984956188666e-01
3.778854659231447583e-09,5.389920801790435423e-01,1.389920801790433535e-01,0.000000000000000000e+00,3.610079198209565909e-01,4.610079198209565687e-01
3.850918761628903535e-09,5.362843838995906554e-01,1.362843838995904944e-01,0.000000000000000000e+00,3.637156161004094779e-01,4.637156161004094557e-01
3.958800119194849415e-09,5.323531991812041619e-01,1.323531991812040010e-01,0.000000000000000000e+00,3.676468008187959158e-01,4.676468008187958936e-01
4.033873623631575019e-09,5.297009820655188550e-01,1.297009820655186940e-01,0.000000000000000000e+00,3.702990179344812782e-01,4.702990179344812560e-01
4.138745579158251248e-09,5.261059368150181603e-01,1.261059368150180271e-01,0.000000000000000000e+00,3.738940631849819174e-01,4.738940631849818952e-01
4.225520562409258780e-09,5.232243380758416773e-01,1.232243380758415024e-01,0.000000000000000000e+00,3.767756619241584004e-01,4.767756619241583782e-01
4.318691039121653908e-09,5.202202324337603656e-01,1.202202324337602046e-01,0.000000000000000000e+00,3.797797675662397121e-01,4.797797675662396899e-01
4.426272533364374085e-09,5.168626147869773702e-01,1.168626147869772369e-01,0.000000000000000000e+00,3.831373852130226521e-01,4.831373852130226298e-01
4.498636499085056567e-09,5.146687735839839961e-01,1.146687735839838490e-01,0.000000000000000000e+00,3.853312264160160816e-01,4.853312264160160594e-01
4.636562111165114140e-09,5.106251347515301520e-01,1.106251347515299771e-01,0.000000000000000000e+00,3.893748652484699257e-01,4.893748652484699035e-01
4.678581959048458400e-09,5.094278715935030011e-01,1.094278715935028262e-01,0.000000000000000000e+00,3.905721284064970766e-01,4.905721284064970544e-01
4.856842421845106569e-09,5.045202622339869380e-01,1.045202622339867771e-01,0.000000000000000000e+00,3.954797377660131952e-01,4.954797377660131730e-01
4.858527419011860232e-09,5.044751543137484529e-01,1.044751543137482502e-01,0.000000000000000000e+00,3.955248456862516804e-01,4.955248456862516582e-01
5.038472878975262892e-09,4.997901304311378468e-01,9.979013043113764414e-02,0.000000000000000000e+00,4.002098695688622865e-01,5.002098695688622643e-01
5.087588119186570961e-09,4.985555728792595009e-01,9.855557287925932608e-02,0.000000000000000000e+00,4.014444271207406323e-01,5.014444271207405546e-01
5.218418338938665552e-09,4.953552749525871324e-01,9.535527495258695752e-02,0.000000000000000000e+00,4.046447250474130009e-01,5.046447250474129786e-01
5.329296407490863546e-09,4.927397570718677344e-01,9.273975707186755957e-02,0.000000000000000000e+00,4.072602429281323988e-01,5.072602429281324321e-01
5.398363798902067384e-09,4.911535267145615280e-01,9.115352671456136702e-02,0.000000000000000000e+00,4.088464732854386052e-01,5.088464732854385275e-01
5.578309258865469217e-09,4.871691320967616590e-01,8.716913209676147023e-02,0.000000000000000000e+00,4.128308679032384743e-01,5.128308679032385076e-01
5.582488112940239833e-09,4.870790765409404033e-01,8.707907654094022842e-02,0.000000000000000000e+00,4.129209234590597299e-01,5.129209234590597077e-01
5.758254718828871877e-09,4.833886674086136370e-01,8.338866740861350380e-02,0.000000000000000000e+00,4.166113325913864962e-01,5.166113325913864740e-01
5.847708805859379667e-09,4.815811583774896598e-01,8.158115837748948496e-02,0.000000000000000000e+00,4.184188416225104734e-01,5.184188416225105067e-01
5.938200178792274536e-09,4.797991761134088873e-01,7.979917611340872630e-02,0.000000000000000000e+00,4.202008238865912459e-01,5.202008238865911682e-01
6.118145638755676369e-09,4.763883571608533152e-01,7.638835716085316807e-02,0.000000000000000000e+00,4.236116428391468181e-01,5.236116428391467403e-01
6.125529976294889245e-09,4.762520466814864628e-01,7.625204668148628795e-02,0.000000000000000000e+00,4.237479533185136704e-01,5.237479533185136482e-01
