# t,R1(MeOH),R2(MeOH),P1(MeOH),P2(MeOH),MeO-(MeOH),TS1#(MeOH),Br-(MeOH),TS2#(MeOH)
5.261337314861488229e-02,2.004986270741470344e-01,5.414426577457293055e-02,2.796791718069454105e-02,1.173891899705853115e-01,4.546428928487201149e-01,0.000000000000000000e+00,1.453571071512798629e-01,0.000000000000000000e+00
5.825698481083332880e-02,1.921364957249109551e-01,5.190970225613546901e-02,3.003179671904400785e-02,1.259220052999094064e-01,4.440461979810466087e-01,0.000000000000000000e+00,1.559538020189534246e-01,0.000000000000000000e+00
6.122320435219569257e-02,1.879553270384457797e-01,5.079162714605663098e-02,3.106377946500959303e-02,1.301892663504878311e-01,4.387469541845026022e-01,0.000000000000000000e+00,1.612530458154974311e-01,0.000000000000000000e+00
6.378089590134514153e-02,1.844613748193814906e-01,4.985692686941742280e-02,3.192615461778385011e-02,1.337555436934170783e-01,4.343183016887990910e-01,0.000000000000000000e+00,1.656816983112009423e-01,0.000000000000000000e+00
6.450596257463134253e-02,1.834890051599632477e-01,4.959673598600062433e-02,3.216615574999576177e-02,1.347481031040402011e-01,4.330857411459640982e-01,0.000000000000000000e+00,1.669142588540359629e-01,0.000000000000000000e+00
7.142524147432302573e-02,1.745906216681401557e-01,4.721438731094649427e-02,3.436249187799816918e-02,1.438324991429150157e-01,4.218050089790868484e-01,0.000000000000000000e+00,1.781949910209132126e-01,0.000000000000000000e+00
7.142707174422829874e-02,1.745883554473281751e-01,4.721378028445296499e-02,3.436305124282802020e-02,1.438348130253906676e-01,4.218021357317813247e-01,0.000000000000000000e+00,1.781978642682187086e-01,0.000000000000000000e+00
7.908672184781377623e-02,1.654811950195068104e-01,4.477313571567427541e-02,3.661097353566566959e-02,1.531346957291530864e-01,4.102543307351813051e-01,0.000000000000000000e+00,1.897456692648187282e-01,0.000000000000000000e+00
8.163093913626091880e-02,1.626143913165662425e-01,4.400435476578914984e-02,3.731859874548811712e-02,1.560626551721563393e-01,4.066187460823555977e-01,0.000000000000000000e+00,1.933812539176444356e-01,0.000000000000000000e+00
8.435485189938608797e-02,1.596268119171888322e-01,4.320292999570341658e-02,3.805604137928517150e-02,1.591142167078224423e-01,4.028297419128924473e-01,0.000000000000000000e+00,1.971702580871075861e-01,0.000000000000000000e+00
8.757001647494591645e-02,1.562050365923465245e-01,4.228470875218683089e-02,3.890066664587783080e-02,1.626095880095886625e-01,3.984897453445335747e-01,0.000000000000000000e+00,2.015102546554664587e-01,0.000000000000000000e+00
9.183480652829353885e-02,1.518326776000980260e-01,4.111090214409682947e-02,3.997994381910092987e-02,1.670764764367040633e-01,3.929435797441950817e-01,0.000000000000000000e+00,2.070564202558049516e-01,0.000000000000000000e+00
9.696327785818184553e-02,1.468114761275324254e-01,3.976221793080041839e-02,4.121939761469708974e-02,1.722069083269699152e-01,3.865736940583330838e-01,0.000000000000000000e+00,2.134263059416669772e-01,0.000000000000000000e+00
1.020386739203261450e-01,1.420796917147054694e-01,3.849059283980354323e-02,4.238742600584226305e-02,1.770422894396485591e-01,3.805702845545092528e-01,0.000000000000000000e+00,2.194297154454907806e-01,0.000000000000000000e+00
1.049288078974270344e-01,1.394849529730338988e-01,3.779299952840378674e-02,4.302793676548914009e-02,1.796941107330730092e-01,3.772779525014379187e-01,0.000000000000000000e+00,2.227220474985621146e-01,0.000000000000000000e+00
1.073641142421491723e-01,1.373521596863359617e-01,3.721945216117283212e-02,4.355441975518557773e-02,1.818739683973054633e-01,3.745716118475090339e-01,0.000000000000000000e+00,2.254283881524910271e-01,0.000000000000000000e+00
1.122425413123587651e-01,1.332205647048530506e-01,3.610801266066315796e-02,4.457431833908445662e-02,1.860971042953991905e-01,3.693285773655163862e-01,0.000000000000000000e+00,2.306714226344836194e-01,0.000000000000000000e+00
1.188806038906881080e-01,1.278824625113503255e-01,3.467126711502973441e-02,4.589206439143632410e-02,1.915542059821834509e-01,3.625537296263802722e-01,0.000000000000000000e+00,2.374462703736197611e-01,0.000000000000000000e+00
1.224464087043913851e-01,1.251419468128201484e-01,3.393333294389417470e-02,4.656858639105170700e-02,1.943561338522337978e-01,3.590752797567145493e-01,0.000000000000000000e+00,2.409247202432854840e-01,0.000000000000000000e+00
1.255027638954679947e-01,1.228597531249758651e-01,3.331864276999817187e-02,4.713197113254102844e-02,1.966896329724847625e-01,3.561783958949742424e-01,0.000000000000000000e+00,2.438216041050257632e-01,0.000000000000000000e+00
1.316324181610628585e-01,1.184589193358395742e-01,3.213288249119779921e-02,4.821837543702436196e-02,2.011898227359381064e-01,3.505918018270375858e-01,0.000000000000000000e+00,2.494081981729624475e-01,0.000000000000000000e+00
1.326502760964239913e-01,1.177499667783781512e-01,3.194180894426146278e-02,4.839339101567052825e-02,2.019148332616896857e-01,3.496917757226398193e-01,0.000000000000000000e+00,2.503082242773602140e-01,0.000000000000000000e+00
1.428541434884565975e-01,1.109645142991076416e-01,3.011227546259578891e-02,5.006849891201008151e-02,2.088547113262863297e-01,3.410767897617036359e-01,0.000000000000000000e+00,2.589232102382963974e-01,0.000000000000000000e+00
1.457520650455422229e-01,1.091384059399750917e-01,2.961967838991452426e-02,5.051931103651791100e-02,2.107226046335922975e-01,3.387580843298897970e-01,0.000000000000000000e+00,2.612419156701102363e-01,0.000000000000000000e+00
1.460767198935089273e-01,1.089364512826149073e-01,2.956519463782028914e-02,5.056916780287541019e-02,2.109291862766892178e-01,3.385016459204354122e-01,0.000000000000000000e+00,2.614983540795646211e-01,0.000000000000000000e+00
1.530580108804892314e-01,1.047173474538797694e-01,2.842668019494983336e-02,5.161074884479810443e-02,2.152452235063721520e-01,3.331440276488297769e-01,0.000000000000000000e+00,2.668559723511702564e-01,0.000000000000000000e+00
1.613862661023717782e-01,9.997697208908158661e-02,2.714687287258268217e-02,5.278103187245232475e-02,2.200951231658832552e-01,3.271238449616644672e-01,0.000000000000000000e+00,2.728761550383355661e-01,0.000000000000000000e+00
1.632618782725218376e-01,9.895062653438715938e-02,2.686969329951880564e-02,5.303441352597523112e-02,2.211452666401186318e-01,3.258203198339061912e-01,0.000000000000000000e+00,2.741796801660938421e-01,0.000000000000000000e+00
1.666506758915498876e-01,9.713292506528788117e-02,2.637872056503147780e-02,5.348316489337209129e-02,2.230051894763083742e-01,3.235116456303195331e-01,0.000000000000000000e+00,2.764883543696805002e-01,0.000000000000000000e+00
1.734657456645544438e-01,9.361381906300240974e-02,2.542790970466229927e-02,5.435196274372719460e-02,2.266063084886079104e-01,3.190417287676649005e-01,0.000000000000000000e+00,2.809582712323351328e-01,0.000000000000000000e+00
1.786974810842459072e-01,9.102992269907722589e-02,2.472954430545514642e-02,5.498988112308733633e-02,2.292506518723801123e-01,3.157594670045325569e-01,0.000000000000000000e+00,2.842405329954674764e-01,0.000000000000000000e+00
1.836696130565870777e-01,8.866364413196964334e-02,2.408982292877594883e-02,5.557407744993199394e-02,2.316724554893222487e-01,3.127534670607458045e-01,0.000000000000000000e+00,2.872465329392542288e-01,0.000000000000000000e+00
1.872246318895908479e-01,8.702276925065148550e-02,2.364611793307390061e-02,5.597918538954652079e-02,2.333519274267279175e-01,3.106688871837255950e-01,0.000000000000000000e+00,2.893311128162744383e-01,0.000000000000000000e+00
1.938734804486196839e-01,8.406215055903758226e-02,2.284534234097661265e-02,5.671012330539429436e-02,2.363823837945913109e-01,3.069074929000144003e-01,0.000000000000000000e+00,2.930925070999856330e-01,0.000000000000000000e+00
1.978655961071590363e-01,8.234942685742224766e-02,2.238197283053773579e-02,5.713297503256093562e-02,2.381356252794789019e-01,3.047313996879602027e-01,0.000000000000000000e+00,2.952686003120398306e-01,0.000000000000000000e+00
2.040773478406522901e-01,7.977629629790952692e-02,2.168566074344979722e-02,5.776825501018005571e-02,2.407697879484604342e-01,3.014619570413595295e-01,0.000000000000000000e+00,2.985380429586405038e-01,0.000000000000000000e+00
2.077985878876317805e-01,7.828612834189872804e-02,2.128231936522674561e-02,5.813616446158709206e-02,2.422953878312872622e-01,2.995684477071256513e-01,0.000000000000000000e+00,3.004315522928743820e-01,0.000000000000000000e+00
2.142812152326849240e-01,7.577708285337085570e-02,2.060305200128494107e-02,5.875562923563226042e-02,2.448642359097117638e-01,2.963801348546559744e-01,0.000000000000000000e+00,3.036198651453440589e-01,0.000000000000000000e+00
2.190897929019156865e-01,7.398419905154621223e-02,2.011755439308047025e-02,5.919828159637399723e-02,2.466999649589991517e-01,2.941017534446268566e-01,0.000000000000000000e+00,3.058982465553731767e-01,0.000000000000000000e+00
2.244850826247175302e-01,7.203857353122419815e-02,1.959058712151836093e-02,5.967864744750833728e-02,2.486921918997489211e-01,2.916291606527427471e-01,0.000000000000000000e+00,3.083708393472572862e-01,0.000000000000000000e+00
2.283725438856727408e-01,7.067820944719591103e-02,1.922206968397202967e-02,6.001451649924190862e-02,2.500852043695899751e-01,2.899002791311681149e-01,0.000000000000000000e+00,3.100997208688319184e-01,0.000000000000000000e+00
2.346889500167501363e-01,6.853864181803122346e-02,1.864235934848729875e-02,6.054277062497227108e-02,2.522762282085090346e-01,2.871810011665186790e-01,0.000000000000000000e+00,3.128189988334813543e-01,0.000000000000000000e+00
2.425906185722581376e-01,6.597895808890201497e-02,1.794864136706974048e-02,6.117475445499000186e-02,2.548976460890380880e-01,2.839275994559719574e-01,0.000000000000000000e+00,3.160724005440280759e-01,0.000000000000000000e+00
2.448928174087827703e-01,6.525651845584122535e-02,1.775281262257724299e-02,6.135312501418306586e-02,2.556375439073982903e-01,2.830093310784186356e-01,0.000000000000000000e+00,3.169906689215813977e-01,0.000000000000000000e+00
2.489464998837137011e-01,6.400911337078990515e-02,1.741464699345958433e-02,6.166111053181783791e-02,2.569151291039324936e-01,2.814237603642496532e-01,0.000000000000000000e+00,3.185762396357503801e-01,0.000000000000000000e+00
2.550966848008153764e-01,6.217461781680130861e-02,1.691723993109087859e-02,6.211405116034696139e-02,2.587940910917606585e-01,2.790918577478923579e-01,0.000000000000000000e+00,3.209081422521076754e-01,0.000000000000000000e+00
2.653005521928479826e-01,5.927684660719745313e-02,1.613133303782951847e-02,6.282952126745128263e-02,2.617622990875215772e-01,2.754081796450271180e-01,0.000000000000000000e+00,3.245918203549729153e-01,0.000000000000000000e+00
2.686122773671041353e-01,5.837340302805425069e-02,1.588625842258294465e-02,6.305258588428216959e-02,2.626877526650804873e-01,2.742596614506373487e-01,0.000000000000000000e+00,3.257403385493626846e-01,0.000000000000000000e+00
2.695204558817546614e-01,5.812870791059649572e-02,1.581987647704503550e-02,6.311300239477311835e-02,2.629384132175852096e-01,2.739485843876416915e-01,0.000000000000000000e+00,3.260514156123583418e-01,0.000000000000000000e+00
2.755044195848805888e-01,5.654850379236436159e-02,1.539114887297384979e-02,6.350316407337011637e-02,2.645571832612915175e-01,2.719396526653383717e-01,0.000000000000000000e+00,3.280603473346616616e-01,0.000000000000000000e+00
2.857082869769131950e-01,5.397696586797776086e-02,1.469330257446852667e-02,6.413809548873056210e-02,2.671916360688230130e-01,2.686702684424464582e-01,0.000000000000000000e+00,3.313297315575535751e-01,0.000000000000000000e+00
2.900944118797955662e-01,5.291685481769033833e-02,1.440555989556202392e-02,6.439984590994202174e-02,2.682777393768054908e-01,2.673224147132525208e-01,0.000000000000000000e+00,3.326775852867475125e-01,0.000000000000000000e+00
2.959121543689458567e-01,5.155037072044553470e-02,1.403461029878470823e-02,6.473724355060017643e-02,2.696777754301694641e-01,2.655849810192303928e-01,0.000000000000000000e+00,3.344150189807696405e-01,0.000000000000000000e+00
2.974251682813973674e-01,5.120220748269422445e-02,1.394008804658185968e-02,6.482320849577491439e-02,2.700344959749488849e-01,2.651422955292762618e-01,0.000000000000000000e+00,3.348577044707237715e-01,0.000000000000000000e+00
3.061160217609784628e-01,4.925797531296998572e-02,1.341218509593570564e-02,6.530326015028352360e-02,2.720265794408106563e-01,2.626701604089058395e-01,0.000000000000000000e+00,3.373298395910941938e-01,0.000000000000000000e+00
3.106683678778365265e-01,4.827610602989913791e-02,1.314554254634099813e-02,6.554569511899353829e-02,2.730326563047661970e-01,2.614216485762403397e-01,0.000000000000000000e+00,3.385783514237596936e-01,0.000000000000000000e+00
3.163198891530110690e-01,4.709053127049594306e-02,1.282354258127402571e-02,6.583842820384060157e-02,2.742474979443892957e-01,2.599140738517701221e-01,0.000000000000000000e+00,3.400859261482299112e-01,0.000000000000000000e+00
3.265237565450436752e-01,4.503911433221995109e-02,1.226628328344960515e-02,6.634495066550041842e-02,2.763496517188299140e-01,2.573053976156697287e-01,0.000000000000000000e+00,3.426946023843303046e-01,0.000000000000000000e+00
3.293286948545527948e-01,4.449441544984845259e-02,1.211829693857410795e-02,6.647944463046628893e-02,2.769078429811110409e-01,2.566127123884227035e-01,0.000000000000000000e+00,3.433872876115773298e-01,0.000000000000000000e+00
3.312423238758774868e-01,4.412740690417578382e-02,1.201858133474919751e-02,6.657006441672183583e-02,2.772839473443530212e-01,2.561459882389251486e-01,0.000000000000000000e+00,3.438540117610748847e-01,0.000000000000000000e+00
3.367276239370762814e-01,4.309564650793522300e-02,1.173823217041210579e-02,6.682482166292420811e-02,2.783412996587283361e-01,2.548338786783475030e-01,0.000000000000000000e+00,3.451661213216525304e-01,0.000000000000000000e+00
3.469314913291088875e-01,4.125315665094821116e-02,1.123751330330793191e-02,6.727976206444237495e-02,2.802295679813013307e-01,2.524906699542562860e-01,0.000000000000000000e+00,3.475093300457437473e-01,0.000000000000000000e+00
3.518162798739184471e-01,4.040487594091952961e-02,1.100694915815907463e-02,6.748921698761677079e-02,2.810989579133044702e-01,2.514118250990787784e-01,0.000000000000000000e+00,3.485881749009212549e-01,0.000000000000000000e+00
3.571353587211414937e-01,3.950489667415596484e-02,1.076230984689625046e-02,6.771143769298333670e-02,2.820213557859643227e-01,2.502672065210523877e-01,0.000000000000000000e+00,3.497327934789476456e-01,0.000000000000000000e+00
3.646543763639746305e-01,3.827326367857475375e-02,1.042747871145443747e-02,6.801555042300953813e-02,2.832837071869611090e-01,2.487007423900293446e-01,0.000000000000000000e+00,3.512992576099707165e-01,0.000000000000000000e+00
3.673392261131741554e-01,3.784464231907066351e-02,1.031094326683006795e-02,6.812138512359114384e-02,2.837230292905079665e-01,2.481555855859008675e-01,0.000000000000000000e+00,3.518444144140991381e-01,0.000000000000000000e+00
3.723902358719594075e-01,3.705370636830004200e-02,1.009588572347311711e-02,6.831668245980454524e-02,2.845337254484221479e-01,2.471495920917733125e-01,0.000000000000000000e+00,3.528504079082267486e-01,0.000000000000000000e+00
3.775430935052067616e-01,3.626702505903778295e-02,9.881966569427224831e-03,6.851092966161191622e-02,2.853400787099229508e-01,2.461489916284651525e-01,0.000000000000000000e+00,3.538510083715348808e-01,0.000000000000000000e+00
3.877469608972393678e-01,3.476686036573820027e-02,9.473982093096381882e-03,6.888135119369681592e-02,2.868778063474684559e-01,2.442408424588347338e-01,0.000000000000000000e+00,3.557591575411652718e-01,0.000000000000000000e+00
3.929641918700003123e-01,3.402814476025077528e-02,9.273056545698770900e-03,6.906375583470231172e-02,2.876350428593480446e-01,2.433012013059497047e-01,0.000000000000000000e+00,3.566987986940503008e-01,0.000000000000000000e+00
3.979508282892719739e-01,3.333928060446583741e-02,9.085675528390794314e-03,6.923385142295201966e-02,2.883411924441912078e-01,2.424249561328568059e-01,0.000000000000000000e+00,3.575750438671432274e-01,0.000000000000000000e+00
4.037692927430036050e-01,3.255611386095285525e-02,8.872625575709705906e-03,6.942723276877640903e-02,2.891440277945609427e-01,2.414287394366627371e-01,0.000000000000000000e+00,3.585712605633373240e-01,0.000000000000000000e+00
4.081546956813045801e-01,3.198007001818577166e-02,8.715908939279176648e-03,6.956947111302519415e-02,2.897345499295097548e-01,2.406959789574651121e-01,0.000000000000000000e+00,3.593040210425348935e-01,0.000000000000000000e+00
4.135381478680412726e-01,3.128912912372050492e-02,8.527920859894993350e-03,6.974008044909459081e-02,2.904428695672897631e-01,2.398170499836156655e-01,0.000000000000000000e+00,3.601829500163843956e-01,0.000000000000000000e+00
4.183585630733371863e-01,3.068521518847451210e-02,8.363599111108737869e-03,6.988920107195774334e-02,2.910619846284588919e-01,2.390488142995834120e-01,0.000000000000000000e+00,3.609511857004166213e-01,0.000000000000000000e+00
4.285624304653698480e-01,2.945079696750486919e-02,8.027686794401394516e-03,7.019400886726238908e-02,2.923275073708311855e-01,2.374784837619064171e-01,0.000000000000000000e+00,3.625215162380935885e-01,0.000000000000000000e+00
4.341121038660822329e-01,2.880357849805572149e-02,7.851546194275142027e-03,7.035382321647255799e-02,2.929910520911964689e-01,2.366551246923310203e-01,0.000000000000000000e+00,3.633448753076690130e-01,0.000000000000000000e+00
4.387662978574024542e-01,2.827344244047376096e-02,7.707260212608129518e-03,7.048472721648241235e-02,2.935345701304355459e-01,2.359807026530820473e-01,0.000000000000000000e+00,3.640192973469179583e-01,0.000000000000000000e+00
4.470798990204891132e-01,2.735422269686150348e-02,7.457058241470419964e-03,7.071170627023530553e-02,2.944770127914326241e-01,2.348112809383320898e-01,0.000000000000000000e+00,3.651887190616679435e-01,0.000000000000000000e+00
4.489701652494350603e-01,2.715004278206381919e-02,7.401479209318052345e-03,7.076212363240094727e-02,2.946863543762170412e-01,2.345515219913820171e-01,0.000000000000000000e+00,3.654484780086180162e-01,0.000000000000000000e+00
4.546860598641231932e-01,2.654316648533525114e-02,7.236276551174998690e-03,7.091197742846770680e-02,2.953085795350218756e-01,2.337794430365104092e-01,0.000000000000000000e+00,3.662205569634896518e-01,0.000000000000000000e+00
4.591740326414676665e-01,2.607755294741507038e-02,7.109520821366429114e-03,7.102694988209683202e-02,2.957859763491215710e-01,2.331870737687816719e-01,0.000000000000000000e+00,3.668129262312184169e-01,0.000000000000000000e+00
4.693779000335002727e-01,2.505306655224841597e-02,6.830598193198238882e-03,7.127992352992482128e-02,2.968364117246283795e-01,2.318836647454468325e-01,0.000000000000000000e+00,3.681163352545532286e-01,0.000000000000000000e+00
4.752600158621641535e-01,2.448331550099465057e-02,6.675466347625650179e-03,7.142061092171231307e-02,2.974206072296672887e-01,2.311587818486204593e-01,0.000000000000000000e+00,3.688412181513796018e-01,0.000000000000000000e+00
4.795817674255328789e-01,2.407407661340067381e-02,6.564032730550811712e-03,7.152166352955149908e-02,2.978402271264968815e-01,2.306381093439516528e-01,0.000000000000000000e+00,3.693618906560484083e-01,0.000000000000000000e+00
4.897856348175655405e-01,2.313822888393887722e-02,6.309187471808933891e-03,7.175275111868432976e-02,2.987998325255677434e-01,2.294474163557479740e-01,0.000000000000000000e+00,3.705525836442520871e-01,0.000000000000000000e+00
4.950362489189915616e-01,2.267271216372754652e-02,6.182410759849735378e-03,7.186770073764946198e-02,2.992771763387731543e-01,2.288551229235774309e-01,0.000000000000000000e+00,3.711448770764225746e-01,0.000000000000000000e+00
4.958339718602051138e-01,2.260292039122273680e-02,6.163403450024351575e-03,7.188493436845223850e-02,2.993487417903005765e-01,2.287663238412472599e-01,0.000000000000000000e+00,3.712336761587528011e-01,0.000000000000000000e+00
4.999895022095981467e-01,2.224322146390479357e-02,6.065439608330360638e-03,7.197375461095299742e-02,2.997175843168117249e-01,2.283086610722353249e-01,0.000000000000000000e+00,3.716913389277647362e-01,0.000000000000000000e+00
5.101933696016307529e-01,2.138685150682131594e-02,5.832191971479757341e-03,7.218521789013636336e-02,3.005957386315624702e-01,2.272190434783012414e-01,0.000000000000000000e+00,3.727809565216987919e-01,0.000000000000000000e+00
5.164079278582459631e-01,2.088340056711110795e-02,5.695057790269564962e-03,7.230953517384698659e-02,3.011120064687722309e-01,2.265784583573808297e-01,0.000000000000000000e+00,3.734215416426192036e-01,0.000000000000000000e+00
5.203972369936633591e-01,2.056720990271337923e-02,5.608927225188368483e-03,7.238761231294756071e-02,3.014362505591505759e-01,2.261761371279019106e-01,0.000000000000000000e+00,3.738238628720981227e-01,0.000000000000000000e+00
5.306011043856959652e-01,1.978248204848070957e-02,5.395153904991605714e-03,7.258138589659079987e-02,3.022409781499367787e-01,2.251776359534724825e-01,0.000000000000000000e+00,3.748223640465275786e-01,0.000000000000000000e+00
5.369818838562869789e-01,1.930871855522091687e-02,5.266083887777937497e-03,7.269837295713216241e-02,3.027268245998688267e-01,2.245748024429990164e-01,0.000000000000000000e+00,3.754251975570010447e-01,0.000000000000000000e+00
5.408049717777285714e-01,1.903089656681294928e-02,5.190392239239306586e-03,7.276697598592681004e-02,3.030117352080208271e-01,2.242212888060524101e-01,0.000000000000000000e+00,3.757787111939476232e-01,0.000000000000000000e+00
5.481366715003115342e-01,1.851036758491515430e-02,5.048569636984863440e-03,7.289551118320283796e-02,3.035455515948970451e-01,2.235589372219001780e-01,0.000000000000000000e+00,3.764410627780998553e-01,0.000000000000000000e+00
5.510088391697611776e-01,1.831075474282276710e-02,4.994181226381065250e-03,7.294480200564848471e-02,3.037502620251475438e-01,2.233049359692040048e-01,0.000000000000000000e+00,3.766950640307960563e-01,0.000000000000000000e+00
5.575558398543278837e-01,1.786456775297103061e-02,4.872604526001007505e-03,7.305498000391497104e-02,3.042078477171128448e-01,2.227371722789721897e-01,0.000000000000000000e+00,3.772628277210278713e-01,0.000000000000000000e+00
5.612127065617937838e-01,1.762057739192185793e-02,4.806119675641819591e-03,7.311522917258334031e-02,3.044580737598528430e-01,2.224266970675638500e-01,0.000000000000000000e+00,3.775733029324362389e-01,0.000000000000000000e+00
5.714165739538263900e-01,1.695894419113200616e-02,4.625822541119727072e-03,7.327860816632184027e-02,3.051366251014263065e-01,2.215847667322518866e-01,0.000000000000000000e+00,3.784152332677481745e-01,0.000000000000000000e+00
5.781297958523687885e-01,1.653855643837984918e-02,4.511258904281120231e-03,7.338241587672403310e-02,3.055677687806148679e-01,2.210498153426611323e-01,0.000000000000000000e+00,3.789501846573389843e-01,0.000000000000000000e+00
5.816204413458589961e-01,1.632448846545679275e-02,4.452919323579363452e-03,7.343527642027961044e-02,3.057873157906841333e-01,2.207774077890363174e-01,0.000000000000000000e+00,3.792225922109637715e-01,0.000000000000000000e+00
5.918243087378917133e-01,1.571584000825527669e-02,4.287037868635964859e-03,7.358557225513376321e-02,3.064115498679748639e-01,2.200028778768914062e-01,0.000000000000000000e+00,3.799971221231087104e-01,0.000000000000000000e+00
5.987037518504098044e-01,1.531946859197562405e-02,4.179004524315009864e-03,7.368344986416580644e-02,3.068180770195434448e-01,2.194984731162907821e-01,0.000000000000000000e+00,3.805015268837093068e-01,0.000000000000000000e+00
6.020281761299243195e-01,1.513184180314107279e-02,4.127864092566075650e-03,7.372978134915517123e-02,3.070105127551375768e-01,2.192597058957073131e-01,0.000000000000000000e+00,3.807402941042927758e-01,0.000000000000000000e+00
6.069329494547913706e-01,1.485957631423206159e-02,4.053652259079418112e-03,7.379701307278180300e-02,3.072897583539065947e-01,2.189132285733116356e-01,0.000000000000000000e+00,3.810867714266884532e-01,0.000000000000000000e+00
6.122320435219569257e-01,1.457139747318196218e-02,3.975100485759325633e-03,7.386817440559986792e-02,3.075853276354587051e-01,2.185464979589414602e-01,0.000000000000000000e+00,3.814535020410586563e-01,0.000000000000000000e+00
6.192777078484507092e-01,1.419758943927672094e-02,3.873204266233090144e-03,7.396048063328183875e-02,3.079687256612081980e-01,2.180707937055099688e-01,0.000000000000000000e+00,3.819292062944901200e-01,0.000000000000000000e+00
6.224359109139895319e-01,1.403341064144573123e-02,3.828449538605345048e-03,7.400102212772394217e-02,3.081371176922248489e-01,2.178618601800512422e-01,0.000000000000000000e+00,3.821381398199488744e-01,0.000000000000000000e+00
6.326397783060221380e-01,1.351684636846280443e-02,3.687630121939472743e-03,7.412858005527296623e-02,3.086669434543246049e-01,2.172044764904024206e-01,0.000000000000000000e+00,3.827955235095976683e-01,0.000000000000000000e+00
6.398516638464917250e-01,1.316410957427640964e-02,3.591466758440901852e-03,7.421568330722920492e-02,3.090287403600533445e-01,2.167555763327174700e-01,0.000000000000000000e+00,3.832444236672826188e-01,0.000000000000000000e+00
6.428436456980547442e-01,1.302068990094880190e-02,3.552366514633038385e-03,7.425109874636100227e-02,3.091758448380570456e-01,2.165730564155819993e-01,0.000000000000000000e+00,3.834269435844180896e-01,0.000000000000000000e+00
6.530475130900873504e-01,1.254408246261577882e-02,3.422425456418776678e-03,7.436879024398848625e-02,3.096647018369768078e-01,2.159665079190347114e-01,0.000000000000000000e+00,3.840334920809653774e-01,0.000000000000000000e+00
6.604256198445326298e-01,1.221116137762389212e-02,3.331654647674314219e-03,7.445100051074679537e-02,3.100061834639548652e-01,2.155428160252983449e-01,0.000000000000000000e+00,3.844571839747017439e-01,0.000000000000000000e+00
6.632513804821199566e-01,1.208617732937053262e-02,3.297576943759856268e-03,7.448186361559575031e-02,3.101343821112737542e-01,2.153837542731305288e-01,0.000000000000000000e+00,3.846162457268695323e-01,0.000000000000000000e+00
6.720360528435903591e-01,1.170629867644855035e-02,3.193997771758575951e-03,7.457566952779959291e-02,3.105240340239931451e-01,2.149002964482072953e-01,0.000000000000000000e+00,3.850997035517928491e-01,0.000000000000000000e+00
6.734552478741525627e-01,1.164613922604862753e-02,3.177594065704853182e-03,7.459052510207743458e-02,3.105857416061689746e-01,2.148237332917536380e-01,0.000000000000000000e+00,3.851762667082464509e-01,0.000000000000000000e+00
6.809995758425735346e-01,1.133180881731381609e-02,3.091883699747602007e-03,7.466814484556488773e-02,3.109081626373735863e-01,2.144236925170615871e-01,0.000000000000000000e+00,3.855763074829385295e-01,0.000000000000000000e+00
6.836591152661851689e-01,1.122316373619504717e-02,3.062258106688042943e-03,7.469497332910192411e-02,3.110196048280148284e-01,2.142854218428832391e-01,0.000000000000000000e+00,3.857145781571168497e-01,0.000000000000000000e+00
6.938629826582177751e-01,1.081650812217812251e-02,2.951367168306437676e-03,7.479539169187104930e-02,3.114367330176442406e-01,2.137678752904847157e-01,0.000000000000000000e+00,3.862321247095154009e-01,0.000000000000000000e+00
7.015735318406145504e-01,1.051963932361539913e-02,2.870410864921970305e-03,7.486869968651928275e-02,3.117412501249432477e-01,2.133900501885375167e-01,0.000000000000000000e+00,3.866099498114625721e-01,0.000000000000000000e+00
7.040668500502503813e-01,1.042550761528062905e-02,2.844740538822409116e-03,7.489194433368095982e-02,3.118378075122158477e-01,2.132702481541031980e-01,0.000000000000000000e+00,3.867297518458969185e-01,0.000000000000000000e+00
7.142707174422829874e-01,1.004949744678534582e-02,2.742197506498330727e-03,7.498479539782781922e-02,3.122235096488883976e-01,2.127916949532838442e-01,0.000000000000000000e+00,3.872083050467162724e-01,0.000000000000000000e+00
7.221474878386554552e-01,9.769085785290411092e-03,2.665722750026475966e-03,7.505403965370709141e-02,3.125111518109758846e-01,2.124348085353170434e-01,0.000000000000000000e+00,3.875651914646831009e-01,0.000000000000000000e+00
7.244745848343157046e-01,9.687834379959099976e-03,2.643563168580559484e-03,7.507410371189836285e-02,3.125944987395618546e-01,2.123313975485398020e-01,0.000000000000000000e+00,3.876686024514602869e-01,0.000000000000000000e+00
7.346784522263483108e-01,9.339886734926644216e-03,2.548665671161764491e-03,7.516002525209802831e-02,3.129514223418134455e-01,2.118885524060885595e-01,0.000000000000000000e+00,3.881114475939115294e-01,0.000000000000000000e+00
7.427214438366964711e-01,9.074927951792804287e-03,2.476399705647601337e-03,7.522545373315744910e-02,3.132232186094019988e-01,2.115513276574405577e-01,0.000000000000000000e+00,3.884486723425595867e-01,0.000000000000000000e+00
7.441224878749689298e-01,9.029590901241446588e-03,2.464034077674551182e-03,7.523664919377014149e-02,3.132697258273137164e-01,2.114936249789161615e-01,0.000000000000000000e+00,3.885063750210839828e-01,0.000000000000000000e+00
