# t,R1(MeOH),R2(MeOH),P1(MeOH),P2(MeOH),MeO-(MeOH),TS1#(MeOH),Br-(MeOH),TS2#(MeOH)
2.375460004816031933e-04,3.696816645303093174e-01,3.013292795849645961e-02,8.816398291279611328e-06,1.765911129029307421e-04,5.998145924888058644e-01,0.000000000000000000e+00,1.854075111942103432e-04,0.000000000000000000e+00
2.521258661904839929e-04,3.682108876710390999e-01,3.158225352578598877e-02,9.920110290615317722e-06,1.969386928842898916e-04,5.997931411968252524e-01,0.000000000000000000e+00,2.068588031749051686e-04,0.000000000000000000e+00
2.630265446551260933e-04,3.671361565586162001e-01,3.264030490710652377e-02,1.080439515048249181e-05,2.127341391267989078e-04,5.997764614657228321e-01,0.000000000000000000e+00,2.235385342772813928e-04,0.000000000000000000e+00
2.912402778954506391e-04,3.644502136819995353e-01,3.528061061571736295e-02,1.333663437737894984e-05,2.558390679057140392e-04,5.997308242977170689e-01,0.000000000000000000e+00,2.691757022830929230e-04,0.000000000000000000e+00
2.941468438888979555e-04,3.641811526906659768e-01,3.554477329079813036e-02,1.361800574097162637e-05,2.604560127948957866e-04,5.997259259814642363e-01,0.000000000000000000e+00,2.740740185358673587e-04,0.000000000000000000e+00
3.224803777118178663e-04,3.616304123837183471e-01,3.804590906371158043e-02,1.656805122339623991e-05,3.071105013466412636e-04,5.996763214474301051e-01,0.000000000000000000e+00,3.236785525700374561e-04,0.000000000000000000e+00
3.361678215873119724e-04,3.604437719003860119e-01,3.920741413521017238e-02,1.813058763372898030e-05,3.306833767700754980e-04,5.996511860355963064e-01,0.000000000000000000e+00,3.488139644038044918e-04,0.000000000000000000e+00
3.570714695118109238e-04,3.586866165347197821e-01,4.092476611566822631e-02,2.069431037783246320e-05,3.679230392341545884e-04,5.996113826503881583e-01,0.000000000000000000e+00,3.886173496119869940e-04,0.000000000000000000e+00
3.781887992857259893e-04,3.569768297487680986e-01,4.259266436538258760e-02,2.350614422935330884e-05,4.069997416199330103e-04,5.995694941141508361e-01,0.000000000000000000e+00,4.305058858492862581e-04,0.000000000000000000e+00
3.953729998829987806e-04,3.556322228975881683e-01,4.390198481809001047e-02,2.596162786780622305e-05,4.398306564539580278e-04,5.995342077156783356e-01,0.000000000000000000e+00,4.657922843217641865e-04,0.000000000000000000e+00
4.202097769841399520e-04,3.537600461010504960e-01,4.572133428740055017e-02,2.978033610151395981e-05,4.888392754473937620e-04,5.994813803884512238e-01,0.000000000000000000e+00,5.186196115489076540e-04,0.000000000000000000e+00
4.377829717120854743e-04,3.524844279171130967e-01,4.695831764594889796e-02,3.267697584813309802e-05,5.245774610898284573e-04,5.994427455630620960e-01,0.000000000000000000e+00,5.572544369379615892e-04,0.000000000000000000e+00
4.622307546825539688e-04,3.507746653650877788e-01,4.861266993326898711e-02,3.697779219933360691e-05,5.756869094438414733e-04,5.993873352983569713e-01,0.000000000000000000e+00,6.126647016431749446e-04,0.000000000000000000e+00
4.847420799543217295e-04,3.492644382369684553e-01,5.007023517256424527e-02,4.121905720692157246e-05,6.241075332603345915e-04,5.993346734095328365e-01,0.000000000000000000e+00,6.653265904672560826e-04,0.000000000000000000e+00
5.042517323809679857e-04,3.480033085809750570e-01,5.128450479930357631e-02,4.511381976184279180e-05,6.670727999594282340e-04,5.992878133802788110e-01,0.000000000000000000e+00,7.121866197212710055e-04,0.000000000000000000e+00
5.367382910292289649e-04,3.459972939866396979e-01,5.321009065752701356e-02,5.205149231508428889e-05,7.405638635181404196e-04,5.992073846441668961e-01,0.000000000000000000e+00,7.926153558332245256e-04,0.000000000000000000e+00
5.462727100793820026e-04,3.454299858581562632e-01,5.375324705599086872e-02,5.419505501366015705e-05,7.625720308391591238e-04,5.991832329141473235e-01,0.000000000000000000e+00,8.167670858528191385e-04,0.000000000000000000e+00
5.882936877777959110e-04,3.430397432384789669e-01,5.603424188902454695e-02,6.422203501989058854e-05,8.617928374765190195e-04,5.990739851275037609e-01,0.000000000000000000e+00,9.260148724964093912e-04,0.000000000000000000e+00
5.943119134285277305e-04,3.427115993087062051e-01,5.634637830163822386e-02,6.573516767017568334e-05,8.762872219853390810e-04,5.990579776103446275e-01,0.000000000000000000e+00,9.420223896555146017e-04,0.000000000000000000e+00
6.303146654762099279e-04,3.408189917501452393e-01,5.814143382662426834e-02,7.518812659518325575e-05,9.643862966352801606e-04,5.989604255767696506e-01,0.000000000000000000e+00,1.039574423230463186e-03,0.000000000000000000e+00
6.580612122265057243e-04,3.394392222534601267e-01,5.944402127969183880e-02,8.293911264805852433e-05,1.033817354199951296e-03,5.988832435331520321e-01,0.000000000000000000e+00,1.116756466848009685e-03,0.000000000000000000e+00
6.723356431746239448e-04,3.387548792331837588e-01,6.008801132335900991e-02,8.708304606244840398e-05,1.070026397394750533e-03,5.988428905565429394e-01,0.000000000000000000e+00,1.157109443457198829e-03,0.000000000000000000e+00
7.143566208730379617e-04,3.368358210870897596e-01,6.188586211861306363e-02,9.989103882729293948e-05,1.178425755469846275e-03,5.987216832057029592e-01,0.000000000000000000e+00,1.278316794297139174e-03,0.000000000000000000e+00
7.286486258349199460e-04,3.362141906906040423e-01,6.246548300543421084e-02,1.044522209142644703e-04,1.215874083047432247e-03,5.986796736960383614e-01,0.000000000000000000e+00,1.320326303961696663e-03,0.000000000000000000e+00
7.563775985714519786e-04,3.350507523108240959e-01,6.354634075937418136e-02,1.135941540901226301e-04,1.289312775711532475e-03,5.985970930701983717e-01,0.000000000000000000e+00,1.402906929801654929e-03,0.000000000000000000e+00
7.983985762698658870e-04,3.333897529590139075e-01,6.507962676498324495e-02,1.281705407409491025e-04,1.402449735261869241e-03,5.984693797239972746e-01,0.000000000000000000e+00,1.530620276002818154e-03,0.000000000000000000e+00
