# t,He(g),He(aq),Ne(g),Ne(aq),Ar(g),Ar(aq)
2.134833057535310672e-06,9.999978651972218913e-01,2.134802778070969500e-06,9.999978651989395173e-01,2.134801060532011559e-06,9.999978652033101323e-01,2.134796689913897766e-06
2.260411472684446345e-06,9.999977396224738468e-01,2.260377526175833446e-06,9.999977396243994177e-01,2.260375600632630269e-06,9.999977396292993870e-01,2.260370700707059067e-06
2.385989887833582441e-06,9.999976140479351905e-01,2.385952064738545255e-06,9.999976140500806965e-01,2.385949919305517397e-06,9.999976140555402182e-01,2.385944459827402023e-06
2.446446957352757001e-06,9.999975535928067316e-01,2.446407193234356370e-06,9.999975535950623717e-01,2.446404937701626617e-06,9.999975536008020027e-01,2.446399198053381543e-06
2.511568302982718114e-06,9.999974884736062553e-01,2.511526393759453058e-06,9.999974884759834648e-01,2.511524016551061307e-06,9.999974884820327370e-01,2.511517967275429773e-06
2.637146718131854210e-06,9.999973628994867081e-01,2.637100513238906679e-06,9.999973629021077226e-01,2.637097892369654601e-06,9.999973629087769433e-01,2.637091223051646723e-06
2.762725133280989883e-06,9.999972373255767710e-01,2.762674423177256367e-06,9.999972373284532479e-01,2.762671546761685217e-06,9.999972373357728372e-01,2.762664227156558130e-06
2.818034583936936327e-06,9.999971820181768889e-01,2.817981823100423572e-06,9.999971820211697171e-01,2.817978830362463639e-06,9.999971820287852919e-01,2.817971214752516283e-06
2.888303548430125979e-06,9.999971117518764441e-01,2.888248123574851945e-06,9.999971117550202626e-01,2.888244979727545758e-06,9.999971117630204187e-01,2.888236979590668401e-06
3.013881963579262076e-06,9.999969861783855052e-01,3.013821614432042392e-06,9.999969861818087669e-01,3.013818191267625433e-06,9.999969861905196877e-01,3.013809480354480673e-06
3.139460378728397748e-06,9.999968606051041764e-01,3.139394895749177532e-06,9.999968606088186496e-01,3.139391181382315149e-06,9.999968606182706443e-01,3.139381729448500203e-06
3.246062168810608539e-06,9.999967540078366079e-01,3.245992163356303962e-06,9.999967540118075426e-01,3.245988192464739314e-06,9.999967540219122375e-01,3.245978087754543886e-06
3.265038793877533845e-06,9.999967350320324577e-01,3.264967967526607613e-06,9.999967350360499108e-01,3.264963950072005811e-06,9.999967350462731774e-01,3.264953726873231398e-06
3.390617209026669517e-06,9.999966094591702381e-01,3.390540829764680766e-06,9.999966094635026614e-01,3.390536497337086208e-06,9.999966094745273981e-01,3.390525472629177820e-06
3.516195624175805614e-06,9.999964838865175176e-01,3.516113482463747662e-06,9.999964838911769016e-01,3.516108823177947668e-06,9.999964839030333064e-01,3.516096966716845146e-06
3.641774039324941286e-06,9.999963583140744072e-01,3.641685925624157279e-06,9.999963583190724092e-01,3.641680927594980675e-06,9.999963583317909022e-01,3.641668209136735668e-06
3.739102303373028976e-06,9.999962609905829192e-01,3.739009417009863564e-06,9.999962609958518156e-01,3.739004148265756503e-06,9.999962610092590909e-01,3.738990740921833139e-06
3.767352454474077383e-06,9.999962327418406849e-01,3.767258159246261136e-06,9.999962327471894064e-01,3.767252810588576980e-06,9.999962327608001855e-01,3.767239199889356334e-06
3.892930869623213479e-06,9.999961071698166837e-01,3.892830183330407363e-06,9.999961071755278930e-01,3.892824472159124526e-06,9.999961071900610454e-01,3.892809938975209859e-06
4.018509284772349152e-06,9.999959815980020705e-01,4.018401997876944091e-06,9.999959816040877580e-01,4.018395912307015487e-06,9.999959816195737039e-01,4.018380426394800651e-06
4.144087699921484824e-06,9.999958560263970675e-01,4.143973602886223685e-06,9.999958560328690016e-01,4.143967131032638652e-06,9.999958560493379389e-01,4.143950662148632695e-06
4.269666115070621344e-06,9.999957304550016746e-01,4.269544998358595123e-06,9.999957304618717346e-01,4.269538128336387045e-06,9.999957304793538615e-01,4.269520646237212516e-06
4.307029658711745081e-06,9.999956930935870458e-01,4.306906412977733703e-06,9.999956931005778982e-01,4.306899422193657170e-06,9.999956931183672237e-01,4.306881632793168085e-06
4.395244530219757017e-06,9.999956048838156697e-01,4.395116184294408230e-06,9.999956048910958462e-01,4.395108904218648606e-06,9.999956049096213606e-01,4.395090378661042404e-06
4.520822945368892690e-06,9.999954793128392749e-01,4.520687160694010289e-06,9.999954793205413361e-01,4.520679458679814665e-06,9.999954793401406583e-01,4.520659859420627192e-06
4.646401360518028363e-06,9.999953537420723793e-01,4.646257927557753666e-06,9.999953537502083156e-01,4.646249791720274858e-06,9.999953537709115325e-01,4.646229088516471711e-06
4.771979775667164882e-06,9.999952281715150937e-01,4.771828484885986491e-06,9.999952281800966736e-01,4.771819903340422206e-06,9.999952282019340943e-01,4.771798065949079945e-06
4.897558190816300555e-06,9.999951026011673072e-01,4.897398832679060283e-06,9.999951026102065210e-01,4.897389793540643804e-06,9.999951026332083437e-01,4.897366791718955033e-06
4.961218756782427937e-06,9.999950389447710419e-01,4.961055228955181726e-06,9.999950389540467333e-01,4.961045953305689698e-06,9.999950389776504078e-01,4.961022349637533841e-06
5.023136605965436228e-06,9.999949770310290198e-01,5.022968970937321479e-06,9.999949770405377469e-01,5.022959462321332676e-06,9.999949770647341696e-01,5.022935265826604346e-06
5.148715021114572748e-06,9.999948514611003425e-01,5.148538899661122444e-06,9.999948514710903513e-01,5.148528909682878457e-06,9.999948514965117941e-01,5.148503488272530176e-06
5.274293436263708420e-06,9.999947258913811643e-01,5.274108618850811309e-06,9.999947259018644452e-01,5.274098135625669935e-06,9.999947259285409951e-01,5.274071459057235660e-06
5.399871851412844093e-06,9.999946003218714852e-01,5.399678128506738745e-06,9.999946003328599176e-01,5.399667140150100133e-06,9.999946003608218836e-01,5.399639178181229017e-06
5.525450266561979766e-06,9.999944747525713051e-01,5.525247428629253730e-06,9.999944747640767684e-01,5.525235923256556992e-06,9.999944747933543487e-01,5.525206645645009998e-06
5.651028681711116286e-06,9.999943491834807352e-01,5.650816519218706936e-06,9.999943491955151087e-01,5.650804484945433535e-06,9.999943492261386124e-01,5.650773861449086822e-06
5.714771780794239525e-06,9.999942854451949747e-01,5.714554805020350550e-06,9.999942854575023521e-01,5.714542497731970703e-06,9.999942854888205224e-01,5.714511179498552672e-06
5.776607096860251958e-06,9.999942236145996644e-01,5.776385400275446493e-06,9.999942236271748275e-01,5.776372825217117704e-06,9.999942236591744527e-01,5.776340825593960932e-06
5.902185512009387631e-06,9.999940980459282036e-01,5.901954071799822225e-06,9.999940980590559247e-01,5.901940944072001675e-06,9.999940980924619804e-01,5.901907538080138855e-06
6.027763927158524151e-06,9.999939724774662420e-01,6.027522533792186499e-06,9.999939724911585115e-01,6.027508841510475930e-06,9.999939725260010848e-01,6.027473998908123727e-06
6.153342342307659824e-06,9.999938469092137794e-01,6.153090786252884904e-06,9.999938469234824767e-01,6.153076517532929258e-06,9.999938469597919877e-01,6.153040208078422075e-06
6.582780987416635662e-06,9.999934175069051800e-01,6.582493094747952767e-06,9.999934175232350064e-01,6.582476764981557098e-06,9.999934175647892109e-01,6.582435210820766774e-06
