# t,AcOH(aq),AcO-(aq),H+(aq),AcOH(g),AcO-(g)
1.115965783961432974e-04,9.998883502693835246e-02,1.115876843279238709e-05,1.115876843279238709e-05,6.204628871958476285e-09,7.167064083917251197e-62
1.168984655208149076e-04,9.998830493862578828e-02,1.168885677824492268e-05,1.168885677824492268e-05,6.204595978288560561e-09,7.507529715485634005e-62
1.216995003576738473e-04,9.998782493173462294e-02,1.216886369919367006e-05,1.216886369919367006e-05,6.204566192325632349e-09,7.815829003519392390e-62
1.224522421521966769e-04,9.998774967319763729e-02,1.224412224084854025e-05,1.224412224084854025e-05,6.204561522292289195e-09,7.864166129085823938e-62
1.282698754110703221e-04,9.998716803540219633e-02,1.282576007238139701e-05,1.282576007238139701e-05,6.204525429800033624e-09,8.237741012132615071e-62
1.343639009690142123e-04,9.998655877332092434e-02,1.343502219146098904e-05,1.343502219146098904e-05,6.204487623125833739e-09,8.629058448070656010e-62
1.407474500599143440e-04,9.998592057569251346e-02,1.407321985948340460e-05,1.407321985948340460e-05,6.204448020901363703e-09,9.038960635079172391e-62
1.474342777747756456e-04,9.998525206911205998e-02,1.474172648140915890e-05,1.474172648140915890e-05,6.204406537902153722e-09,9.468329684963289868e-62
1.521243754470923159e-04,9.998478319008836934e-02,1.521060553419760481e-05,1.521060553419760481e-05,6.204377442436099227e-09,9.769481755568653386e-62
1.544387927008027725e-04,9.998455181509992296e-02,1.544198053699958383e-05,1.544198053699958383e-05,6.204363084865719488e-09,9.918089505831227664e-62
1.617760879686163907e-04,9.998381830703412243e-02,1.617548864832652768e-05,1.617548864832652768e-05,6.204317568301241992e-09,1.038920777229728482e-61
1.694619737745040749e-04,9.998304996694051816e-02,1.694382878960014785e-05,1.694382878960014785e-05,6.204269890290422954e-09,1.088269798709297418e-61
1.775130114477839840e-04,9.998224514213448211e-02,1.774865364558426669e-05,1.774865364558426669e-05,6.204219948279123827e-09,1.139962163811314229e-61
1.825492505365107574e-04,9.998174170270032746e-02,1.825209311097126887e-05,1.825209311097126887e-05,6.204188708213735829e-09,1.172297120240720137e-61
1.859465491366887695e-04,9.998140210170727848e-02,1.859169412509494560e-05,1.859169412509494560e-05,6.204167634859390464e-09,1.194109045506908200e-61
1.947807591896647222e-04,9.998051903285086472e-02,1.947476303630434448e-05,1.947476303630434448e-05,6.204112837541450711e-09,1.250826877006607113e-61
2.040346773126341115e-04,9.997959403701377201e-02,2.039975893079688839e-05,2.039975893079688839e-05,6.204055438515244851e-09,1.310237598656733259e-61
2.129741256259292260e-04,9.997870050186911939e-02,2.129329413090589793e-05,2.129329413090589793e-05,6.203999991728320930e-09,1.367627659925479598e-61
2.137282435865958511e-04,9.997862512588115425e-02,2.136867012354672695e-05,2.136867012354672695e-05,6.203995314401058780e-09,1.372468916134884815e-61
2.238823454339479479e-04,9.997761021717146979e-02,2.238357889620179710e-05,2.238357889620179710e-05,6.203932335988793361e-09,1.437654570418853459e-61
2.345188626261144401e-04,9.997654713024237139e-02,2.344666589126847509e-05,2.344666589126847509e-05,6.203866367965408417e-09,1.505934620016721915e-61
2.433990007153476946e-04,9.997565961989332561e-02,2.433417629539269376e-05,2.433417629539269376e-05,6.203811295049634128e-09,1.562937720133118650e-61
2.456607144294578973e-04,9.997543358149775516e-02,2.456021470498786054e-05,2.456021470498786054e-05,6.203797268630054963e-09,1.577455735958543474e-61
2.573319089910663026e-04,9.997426717958823872e-02,2.572661668687765748e-05,2.572661668687765748e-05,6.203724889596414262e-09,1.652371510061764581e-61
2.695575950708292224e-04,9.997304542039685271e-02,2.694837595407710456e-05,2.694837595407710456e-05,6.203649075481726715e-09,1.730842776993029440e-61
2.738238758047661361e-04,9.997261908907156824e-02,2.737470730582287171e-05,2.737470730582287171e-05,6.203622620247453371e-09,1.758225226385613257e-61
2.823641162312742888e-04,9.997176568180157763e-02,2.822811462877201813e-05,2.822811462877201813e-05,6.203569663582019252e-09,1.813037950658000923e-61
2.957790676019303759e-04,9.997042521820644068e-02,2.956857830708675003e-05,2.956857830708675003e-05,6.203486483533002634e-09,1.899133375457859930e-61
3.042487508941846318e-04,9.996957894170245551e-02,3.041485486358767423e-05,3.041485486358767423e-05,6.203433969391558258e-09,1.953488104204938520e-61
3.098313553405322761e-04,9.996902115483274898e-02,3.097264176790310328e-05,3.097264176790310328e-05,6.203399356956127490e-09,1.989313692955848503e-61
3.245512589191916052e-04,9.996755045384683735e-02,3.244334284507481353e-05,3.244334284507481353e-05,6.203308095240664113e-09,2.083774017424989354e-61
3.346736259836030733e-04,9.996653915806404112e-02,3.345463869063582888e-05,3.345463869063582888e-05,6.203245341069374940e-09,2.148727620294238375e-61
3.399704963697467775e-04,9.996600998370257229e-02,3.398381308494117581e-05,3.398381308494117581e-05,6.203212504090056677e-09,2.182715482112475457e-61
3.561222926288807656e-04,9.996439645554081044e-02,3.559734134681928451e-05,3.559734134681928451e-05,6.203112379452236811e-09,2.286349324177949298e-61
3.650985010730215148e-04,9.996349981114135974e-02,3.649398580190940037e-05,3.649398580190940037e-05,6.203056739768538565e-09,2.343939086962476803e-61
3.730414511302748552e-04,9.996270641595067508e-02,3.728738104183137211e-05,3.728738104183137211e-05,6.203007507031734273e-09,2.394897349629576098e-61
3.907644287980630167e-04,9.996093624990461113e-02,3.905754719773796985e-05,3.905754719773796985e-05,6.202897662504226100e-09,2.508591744803875775e-61
3.955233761624400105e-04,9.996046095733529535e-02,3.953283979655424445e-05,3.953283979655424445e-05,6.202868169063064122e-09,2.539118881690391537e-61
4.093294146031807774e-04,9.995908217343042745e-02,4.091162378697299127e-05,4.091162378697299127e-05,6.202782611061808121e-09,2.627675547031438360e-61
4.259482512518584520e-04,9.995742262780263343e-02,4.257116951775395610e-05,4.257116951775395610e-05,6.202679630886339055e-09,2.734265003335104112e-61
4.287764118518793311e-04,9.995714022598584103e-02,4.285357135207184642e-05,4.285357135207184642e-05,6.202662106939807122e-09,2.752403134403619921e-61
4.491473243837185636e-04,9.995510626252893105e-02,4.488753493519121460e-05,4.488753493519121460e-05,6.202535892924731623e-09,2.883040735070475337e-61
