# t,NH3(w),OH·(w),NH3·OH#(w),NH2·(w),H2O(w),NH4+(w)
5.876632131201656835e-08,4.747174307940071197e-02,4.747174308220306754e-02,0.000000000000000000e+00,5.252825691779692413e-02,5.252825691779693801e-02,2.802385611971912659e-12
6.155827431636838311e-08,4.631588822785017573e-02,4.631588823074524880e-02,0.000000000000000000e+00,5.368411176925474287e-02,5.368411176925475675e-02,2.895102744006246883e-12
6.448287134887236121e-08,4.516404528498641630e-02,4.516404528797621915e-02,0.000000000000000000e+00,5.483595471202377253e-02,5.483595471202378641e-02,2.989833240825913353e-12
6.733848261638130172e-08,4.409321898441684318e-02,4.409321898749689328e-02,0.000000000000000000e+00,5.590678101250309839e-02,5.590678101250311227e-02,3.080085425945455969e-12
6.754641424848371375e-08,4.401722607180900970e-02,4.401722607489554767e-02,0.000000000000000000e+00,5.598277392510444400e-02,5.598277392510445788e-02,3.086573340370502268e-12
7.075550425078210594e-08,4.287681864641009616e-02,4.287681864959537459e-02,0.000000000000000000e+00,5.712318135040461708e-02,5.712318135040463096e-02,3.185308768666416571e-12
7.411705621212641080e-08,4.174399579223238288e-02,4.174399579551837935e-02,0.000000000000000000e+00,5.825600420448161232e-02,5.825600420448162620e-02,3.286027276022170596e-12
7.763831350959222043e-08,4.061971083387504872e-02,4.061971083726374082e-02,0.000000000000000000e+00,5.938028916273625085e-02,5.938028916273626473e-02,3.388718785737660838e-12
8.132686364879570242e-08,3.950522321982800900e-02,3.950522322332133962e-02,0.000000000000000000e+00,6.049477677667865205e-02,6.049477677667866593e-02,3.493363462621444442e-12
8.519065461323601218e-08,3.840159332784807977e-02,3.840159333144799181e-02,0.000000000000000000e+00,6.159840666855199987e-02,6.159840666855202068e-02,3.599943342848895187e-12
8.923801199038542028e-08,3.730964695588056407e-02,3.730964695958897959e-02,0.000000000000000000e+00,6.269035304041101209e-02,6.269035304041102596e-02,3.708443257271048201e-12
9.347765691142958779e-08,3.623058222895503971e-02,3.623058223277385304e-02,0.000000000000000000e+00,6.376941776722613864e-02,6.376941776722616639e-02,3.818835909306073877e-12
9.791872484331438947e-08,3.516523248178568539e-02,3.516523248571675614e-02,0.000000000000000000e+00,6.483476751428322860e-02,6.483476751428325635e-02,3.931100415049286957e-12
1.010077239245719592e-07,3.446036749763643076e-02,3.446036750164365586e-02,0.000000000000000000e+00,6.553963249835632887e-02,6.553963249835635663e-02,4.007258074050132237e-12
1.025707852735916288e-07,3.411437184995624178e-02,3.411437185400142263e-02,0.000000000000000000e+00,6.588562814599856210e-02,6.588562814599858986e-02,4.045214465240768082e-12
1.074438623304802092e-07,3.307897725686039653e-02,3.307897726102151242e-02,0.000000000000000000e+00,6.692102273897847231e-02,6.692102273897850007e-02,4.161147352599827838e-12
1.087833229058306315e-07,3.280529713487560783e-02,3.280529713906797651e-02,0.000000000000000000e+00,6.719470286093201516e-02,6.719470286093204292e-02,4.192397623471167503e-12
1.125484563825739147e-07,3.205965394570252369e-02,3.205965394998136486e-02,0.000000000000000000e+00,6.794034605001861293e-02,6.794034605001864069e-02,4.278875900264831178e-12
1.178955666647387644e-07,3.105719547506380351e-02,3.105719547946213938e-02,0.000000000000000000e+00,6.894280452053784536e-02,6.894280452053787311e-02,4.398368378628835530e-12
1.234967149789530668e-07,3.007222291476530779e-02,3.007222291928487307e-02,0.000000000000000000e+00,6.992777708071511167e-02,6.992777708071513942e-02,4.519595521274556326e-12
1.293639705211604630e-07,2.910522877377343456e-02,2.910522877841593276e-02,0.000000000000000000e+00,7.089477122158405198e-02,7.089477122158407973e-02,4.642528870056248205e-12
1.346769652327626034e-07,2.828180361117774502e-02,2.828180361592819506e-02,0.000000000000000000e+00,7.171819638407178621e-02,7.171819638407181396e-02,4.750482664622452648e-12
1.355099758876318079e-07,2.815691464541086528e-02,2.815691465017796519e-02,0.000000000000000000e+00,7.184308534982201955e-02,7.184308534982204730e-02,4.767130748820086363e-12
1.419479743168742115e-07,2.722753827087254219e-02,2.722753827576588487e-02,0.000000000000000000e+00,7.277246172423409987e-02,7.277246172423412762e-02,4.893375091031370439e-12
1.486918382257865188e-07,2.631764815777989583e-02,2.631764816280108762e-02,0.000000000000000000e+00,7.368235183719890058e-02,7.368235183719892833e-02,5.021223244160779527e-12
1.557560991015509359e-07,2.542753901431784452e-02,2.542753901946845710e-02,0.000000000000000000e+00,7.457246098053152417e-02,7.457246098053155192e-02,5.150642879327182921e-12
1.631559788136705776e-07,2.455748116869770417e-02,2.455748117397927449e-02,0.000000000000000000e+00,7.544251882602071024e-02,7.544251882602073800e-02,5.281599745155249488e-12
1.631749843587459538e-07,2.455532330828569601e-02,2.455532331356759593e-02,0.000000000000000000e+00,7.544467668643238534e-02,7.544467668643241309e-02,5.281930283004984286e-12
1.683462065409532477e-07,2.398197241487930870e-02,2.398197242025008544e-02,0.000000000000000000e+00,7.601802757974988889e-02,7.601802757974993052e-02,5.370803344676346368e-12
1.709074224136231869e-07,2.370777599135900568e-02,2.370777599677303255e-02,0.000000000000000000e+00,7.629222400322693831e-02,7.629222400322697994e-02,5.414056162665255037e-12
1.790271324928071119e-07,2.287847016979947454e-02,2.287847017534742899e-02,0.000000000000000000e+00,7.712152982465254880e-02,7.712152982465259043e-02,5.547981653576905166e-12
1.875326051728126535e-07,2.206987623221226547e-02,2.206987623789556999e-02,0.000000000000000000e+00,7.793012376210441128e-02,7.793012376210445291e-02,5.683332919333263353e-12
1.964421678055700525e-07,2.128189865790948432e-02,2.128189866372953362e-02,0.000000000000000000e+00,7.871810133627044070e-02,7.871810133627048234e-02,5.820081309659937088e-12
2.020154478491439184e-07,2.081699244550500733e-02,2.081699245140813948e-02,0.000000000000000000e+00,7.918300754859183832e-02,7.918300754859187995e-02,5.903161094739301234e-12
2.057750184646089672e-07,2.051469383312063549e-02,2.051469383907878960e-02,0.000000000000000000e+00,7.948530616092118473e-02,7.948530616092122636e-02,5.958185098999252498e-12
2.155512673125241727e-07,1.976818017430197194e-02,1.976818018039955271e-02,0.000000000000000000e+00,8.023181981960042508e-02,8.023181981960046671e-02,6.097611348743874013e-12
2.175666458116612629e-07,1.962098775493488489e-02,1.962098776106057860e-02,0.000000000000000000e+00,8.037901223893939573e-02,8.037901223893943736e-02,6.125722742527139927e-12
2.257919799337851264e-07,1.904234039548693275e-02,1.904234040172522388e-02,0.000000000000000000e+00,8.095765959827475045e-02,8.095765959827479208e-02,6.238321935150273438e-12
2.356846891573345627e-07,1.839003819852864582e-02,1.839003820489804389e-02,0.000000000000000000e+00,8.160996179510193738e-02,8.160996179510197901e-02,6.369428771163089965e-12
2.365192227262614410e-07,1.833704445547289577e-02,1.833704446185314627e-02,0.000000000000000000e+00,8.166295553814682806e-02,8.166295553814686969e-02,6.380282764385915585e-12
2.477561104492728534e-07,1.765217946392386508e-02,1.765217947044728924e-02,0.000000000000000000e+00,8.234782052955268161e-02,8.234782052955272325e-02,6.523456699759975316e-12
2.595268560306187312e-07,1.698759114616750845e-02,1.698759115283528243e-02,0.000000000000000000e+00,8.301240884716469537e-02,8.301240884716473700e-02,6.667807709883892206e-12
2.693539304655252069e-07,1.646987178463211673e-02,1.646987179141630453e-02,0.000000000000000000e+00,8.353012820858365939e-02,8.353012820858370102e-02,6.784220985101793893e-12
2.718568227399098153e-07,1.634302485747103281e-02,1.634302486428430151e-02,0.000000000000000000e+00,8.365697513571566934e-02,8.365697513571571098e-02,6.813303289192583127e-12
2.719583072645765720e-07,1.633792287037017649e-02,1.633792287718462133e-02,0.000000000000000000e+00,8.366207712281534259e-02,8.366207712281538422e-02,6.814477753051782071e-12
2.847725788406244113e-07,1.571831965120127489e-02,1.571831965816114507e-02,0.000000000000000000e+00,8.428168034183881885e-02,8.428168034183886048e-02,6.959904821116615042e-12
2.983019548386507210e-07,1.511314884514737555e-02,1.511314885225492101e-02,0.000000000000000000e+00,8.488685114774503770e-02,8.488685114774507934e-02,7.107581756984253552e-12
3.030231717737158776e-07,1.491280111480967376e-02,1.491280112196741690e-02,0.000000000000000000e+00,8.508719887803255222e-02,8.508719887803259385e-02,7.157779534127213821e-12
3.124741034506736725e-07,1.452729481574985097e-02,1.452729482300611254e-02,0.000000000000000000e+00,8.547270517699384618e-02,8.547270517699388781e-02,7.256296296600059454e-12
3.263499687174919076e-07,1.399603972336762280e-02,1.399603973076400838e-02,0.000000000000000000e+00,8.600396026923595727e-02,8.600396026923599890e-02,7.396421304177638974e-12
3.273195624216244615e-07,1.396036935386209266e-02,1.396036936126807820e-02,0.000000000000000000e+00,8.603963063873187878e-02,8.603963063873192041e-02,7.406020109167746165e-12
