# t,Benzaldehyde(dcm),NButylamine(dcm),A_N(dcm),A_N_N(dcm),Water(dcm),A_N_W(dcm),A_N_N_W(dcm),A_N_W_W(dcm),TS1_#(dcm),Hemiaminal(dcm),TS2_#(dcm),I_W(dcm),TS1N_#(dcm),Int_N(dcm),TS2N_#(dcm),I_N_W(dcm),TS1W_#(dcm),Int_W(dcm),TS2W_#(dcm),I_W_W(dcm),TS1NW_#(dcm),Int_N_W(dcm),TS2NW_#(dcm),I_N_W_W(dcm),TS1WW_#(dcm),Int_W_W(dcm),TS2WW_#(dcm),I_W_W_W(dcm),Imine(dcm)
1.002623164270143377e-02,5.997528708560768973e-02,5.997526589250572887e-02,2.465616915197107832e-05,1.445155371243286969e-08,9.999619284126407687e-04,1.039874588704052022e-09,1.012610939079469674e-12,2.070407639275937499e-12,0.000000000000000000e+00,3.690857121571433712e-15,0.000000000000000000e+00,5.330907779224497652e-17,0.000000000000000000e+00,3.572057925996978384e-09,0.000000000000000000e+00,1.019501427065279205e-09,0.000000000000000000e+00,1.735113551851104751e-10,0.000000000000000000e+00,3.396928487329764149e-08,0.000000000000000000e+00,7.018038270313138373e-13,0.000000000000000000e+00,2.148274475087699597e-09,0.000000000000000000e+00,3.618318641748504716e-16,0.000000000000000000e+00,3.673930566553717005e-10,3.240843490458346492e-122
1.019089490548697081e-02,5.997502644419072659e-02,5.997500514040544906e-02,2.491611637785015997e-05,1.445136421674732214e-08,9.999613037601734304e-04,1.039864669569200289e-09,1.012597095959270861e-12,2.070386971431486995e-12,0.000000000000000000e+00,3.798256953088914318e-15,0.000000000000000000e+00,5.514240718491528998e-17,0.000000000000000000e+00,3.616693615092434045e-09,0.000000000000000000e+00,1.050628240431671789e-09,0.000000000000000000e+00,1.735096934444551300e-10,0.000000000000000000e+00,3.454676961172110057e-08,0.000000000000000000e+00,7.017942304425535828e-13,0.000000000000000000e+00,2.183384809546669130e-09,0.000000000000000000e+00,3.618282521857219801e-16,0.000000000000000000e+00,3.734275766588602338e-10,3.296994509626788656e-122
1.171485192042312669e-02,5.997277298172905280e-02,5.997275065404940320e-02,2.716315430702033110e-05,1.444972590731155266e-08,9.999555226744344036e-04,1.039778613566864129e-09,1.012477028611239165e-12,2.070206708479206755e-12,0.000000000000000000e+00,4.843473200681126968e-15,0.000000000000000000e+00,7.359917050381452635e-17,0.000000000000000000e+00,4.011813797910365579e-09,0.000000000000000000e+00,1.356391408726127362e-09,0.000000000000000000e+00,1.734952801581644143e-10,0.000000000000000000e+00,3.989170782089782512e-08,0.000000000000000000e+00,7.017109951646296160e-13,0.000000000000000000e+00,2.508034337020997088e-09,0.000000000000000000e+00,3.617967487639993974e-16,0.000000000000000000e+00,4.292270944712339026e-10,3.818204467478887182e-122
1.336830885693524561e-02,5.997062363245703187e-02,5.997060019490148969e-02,2.930553349016933309e-05,1.444816334459006478e-08,9.999492503867787787e-04,1.039695755622710094e-09,1.012361745598215865e-12,2.070031639057028514e-12,0.000000000000000000e+00,6.072892044279428798e-15,0.000000000000000000e+00,9.667313401720884908e-17,0.000000000000000000e+00,4.405926263519916748e-09,0.000000000000000000e+00,1.722081086779412205e-09,0.000000000000000000e+00,1.734814033117789200e-10,0.000000000000000000e+00,4.569157665864808860e-08,0.000000000000000000e+00,7.016310767149999908e-13,0.000000000000000000e+00,2.859670844327944963e-09,0.000000000000000000e+00,3.617661529832361851e-16,0.000000000000000000e+00,4.896668898575981969e-10,4.386654874633536868e-122
1.346670305112753797e-02,5.997050462230942014e-02,5.997048111874221654e-02,2.942412887195785225e-05,1.444807682625117833e-08,9.999488771336934381e-04,1.039691140268485524e-09,1.012355336182745040e-12,2.070021838075179261e-12,0.000000000000000000e+00,6.148922287598187660e-15,0.000000000000000000e+00,9.814648882229887368e-17,0.000000000000000000e+00,4.428307284579642308e-09,0.000000000000000000e+00,1.744892586680585122e-09,0.000000000000000000e+00,1.734806303422593621e-10,0.000000000000000000e+00,4.603674278692988587e-08,0.000000000000000000e+00,7.016266334759871382e-13,0.000000000000000000e+00,2.880576515613088361e-09,0.000000000000000000e+00,3.617644401273536303e-16,0.000000000000000000e+00,4.932602420829330592e-10,4.420573817515709063e-122
1.548052782050850056e-02,5.996826681879222770e-02,5.996824196507230531e-02,3.165344367276048742e-05,1.444644999515853699e-08,9.999412377136478788e-04,1.039603716941315880e-09,1.012234189913604595e-12,2.069834976762699591e-12,0.000000000000000000e+00,7.768904993419924594e-15,0.000000000000000000e+00,1.307820583132495522e-16,0.000000000000000000e+00,4.861638155613216623e-09,0.000000000000000000e+00,2.235946618679081644e-09,0.000000000000000000e+00,1.734659894977893063e-10,0.000000000000000000e+00,5.310194348164924444e-08,0.000000000000000000e+00,7.015426506096674247e-13,0.000000000000000000e+00,3.307971371237590622e-09,0.000000000000000000e+00,3.617317835527154892e-16,0.000000000000000000e+00,5.667238112296265191e-10,5.116903292730918638e-122
1.671038607116905744e-02,5.996706941565038695e-02,5.996704373825702261e-02,3.284566291261324569e-05,1.444557951481372687e-08,9.999365721312333290e-04,1.039556338927585056e-09,1.012168782841183106e-12,2.069732599948202048e-12,0.000000000000000000e+00,8.812850683072930635e-15,0.000000000000000000e+00,1.530440588014506194e-16,0.000000000000000000e+00,5.104423849536144436e-09,0.000000000000000000e+00,2.557138722898186309e-09,0.000000000000000000e+00,1.734580554777822454e-10,0.000000000000000000e+00,5.741743746065731416e-08,0.000000000000000000e+00,7.014973082280287085e-13,0.000000000000000000e+00,3.568537605608927918e-09,0.000000000000000000e+00,3.617138918019479835e-16,0.000000000000000000e+00,6.115127256656663920e-10,5.544025506093256480e-122
1.779550203874678480e-02,5.996610793357749075e-02,5.996608153002160740e-02,3.380257130490278532e-05,1.444488053886302266e-08,9.999324555235700705e-04,1.039517910506539909e-09,1.012115887967506672e-12,2.069648861700385263e-12,0.000000000000000000e+00,9.764587822905895335e-15,0.000000000000000000e+00,1.741573616456836427e-16,0.000000000000000000e+00,5.305874683729326176e-09,0.000000000000000000e+00,2.852928929974650203e-09,0.000000000000000000e+00,1.734516204054425360e-10,0.000000000000000000e+00,6.122552934106674367e-08,0.000000000000000000e+00,7.014606397917326509e-13,0.000000000000000000e+00,3.798158151048947190e-09,0.000000000000000000e+00,3.616992573962100893e-16,0.000000000000000000e+00,6.509829046797654791e-10,5.921971763982524990e-122
2.005246328540286754e-02,5.996435979441529229e-02,5.996433188227812822e-02,3.554119789120184243e-05,1.444360965188533054e-08,9.999238928182956412e-04,1.039446920808584449e-09,1.012018623630692946e-12,2.069492148625872793e-12,0.000000000000000000e+00,1.182533940954209454e-14,0.000000000000000000e+00,2.224992013367446365e-16,0.000000000000000000e+00,5.689548081973119608e-09,0.000000000000000000e+00,3.502347880021369047e-09,0.000000000000000000e+00,1.734397334680997431e-10,0.000000000000000000e+00,6.914765177454473727e-08,0.000000000000000000e+00,7.013932132064555002e-13,0.000000000000000000e+00,4.274918135169788772e-09,0.000000000000000000e+00,3.616718696405036870e-16,0.000000000000000000e+00,7.329360104265729722e-10,6.711098864568702659e-122
2.045665990739060913e-02,5.996407903111909687e-02,5.996405084907310140e-02,3.582025763580952259e-05,1.444340553297800779e-08,9.999223592551363671e-04,1.039435354711894821e-09,1.012002841753476358e-12,2.069466323890218023e-12,0.000000000000000000e+00,1.220482234837746355e-14,0.000000000000000000e+00,2.317891131528413937e-16,0.000000000000000000e+00,5.753551460396994312e-09,0.000000000000000000e+00,3.623193361000499614e-09,0.000000000000000000e+00,1.734377968730978398e-10,0.000000000000000000e+00,7.056665094533161060e-08,0.000000000000000000e+00,7.013822727596419831e-13,0.000000000000000000e+00,4.360182255076675452e-09,0.000000000000000000e+00,3.616673564143916614e-16,0.000000000000000000e+00,7.475927352523682382e-10,6.852826458467615813e-122
2.339454049963668111e-02,5.996229323044599546e-02,5.996226308904948482e-02,3.759367650279380396e-05,1.444210716504169855e-08,9.999112117892461089e-04,1.039360339102213196e-09,1.011901046891347579e-12,2.069296296037269665e-12,0.000000000000000000e+00,1.504532633275299533e-14,0.000000000000000000e+00,3.050962230507205192e-16,0.000000000000000000e+00,6.179719843140212471e-09,0.000000000000000000e+00,4.539008964133315169e-09,0.000000000000000000e+00,1.734252373480613160e-10,0.000000000000000000e+00,8.088284289408289412e-08,0.000000000000000000e+00,7.013117059111426580e-13,0.000000000000000000e+00,4.978847327657717248e-09,0.000000000000000000e+00,3.616376417199229878e-16,0.000000000000000000e+00,8.539412135648503067e-10,7.886316934434387157e-122
2.351577008928894957e-02,5.996222828189223808e-02,5.996219805973949935e-02,3.765811414270303837e-05,1.444205994125625058e-08,9.999107517618104762e-04,1.039357554023734747e-09,1.011897289234901282e-12,2.069289886107960745e-12,0.000000000000000000e+00,1.516535832167527499e-14,0.000000000000000000e+00,3.083398895713730850e-16,0.000000000000000000e+00,6.195919895937760485e-09,0.000000000000000000e+00,4.578123923276239889e-09,0.000000000000000000e+00,1.734247710887802629e-10,0.000000000000000000e+00,8.130862215848159387e-08,0.000000000000000000e+00,7.013091010154807796e-13,0.000000000000000000e+00,5.004335767433690021e-09,0.000000000000000000e+00,3.616365214970671734e-16,0.000000000000000000e+00,8.583227145737561945e-10,7.929082242403289570e-122
2.673661771387049121e-02,5.996071609753973047e-02,5.996068373268691881e-02,3.915672477568378729e-05,1.444096034874861620e-08,9.998985285188020065e-04,1.039291135709255496e-09,1.011808263993598707e-12,2.069134380657056090e-12,0.000000000000000000e+00,1.842323971695577869e-14,0.000000000000000000e+00,4.008763474210081872e-16,0.000000000000000000e+00,6.590376962489887931e-09,0.000000000000000000e+00,5.651448808369431212e-09,0.000000000000000000e+00,1.734136526943991898e-10,0.000000000000000000e+00,9.262350660435626495e-08,0.000000000000000000e+00,7.012473868912183662e-13,0.000000000000000000e+00,5.680353634137504457e-09,0.000000000000000000e+00,3.616093447923177161e-16,0.000000000000000000e+00,9.745320618411003704e-10,9.068371459716212873e-122
2.703234278693323125e-02,5.996059601253778820e-02,5.996056345122999232e-02,3.927556352328784002e-05,1.444087301872677279e-08,9.998974061118971746e-04,1.039285703412314942e-09,1.011801040171474687e-12,2.069121403228599802e-12,0.000000000000000000e+00,1.872841764096850698e-14,0.000000000000000000e+00,4.099873466557952923e-16,0.000000000000000000e+00,6.623331324692080494e-09,0.000000000000000000e+00,5.753079566659253767e-09,0.000000000000000000e+00,1.734127434203307803e-10,0.000000000000000000e+00,9.366266131323640775e-08,0.000000000000000000e+00,7.012423792153722859e-13,0.000000000000000000e+00,5.742310839823355801e-09,0.000000000000000000e+00,3.616070768092331659e-16,0.000000000000000000e+00,9.851827468599627876e-10,9.173257377569224831e-122
3.007869492810430131e-02,5.995951196127929234e-02,5.995947737903157410e-02,4.034677699483805427e-05,1.444008456143993459e-08,9.998858425897944307e-04,1.039235174512880506e-09,1.011734373371236009e-12,2.068998323147098072e-12,0.000000000000000000e+00,2.192150877951558511e-14,0.000000000000000000e+00,5.098667279620248252e-16,0.000000000000000000e+00,6.934405294271036821e-09,0.000000000000000000e+00,6.826584435845908625e-09,0.000000000000000000e+00,1.734042865649589261e-10,0.000000000000000000e+00,1.043700351863393294e-07,0.000000000000000000e+00,7.011961648989535152e-13,0.000000000000000000e+00,6.379460498841657594e-09,0.000000000000000000e+00,3.615855668824551142e-16,0.000000000000000000e+00,1.094711704493605491e-09,1.025616848495747720e-121
3.107478742034074787e-02,5.995921132394996245e-02,5.995917608202172566e-02,4.064321673182004876e-05,1.443986586038795583e-08,9.998820610343708143e-04,1.039220563290354355e-09,1.011715300604711000e-12,2.068961809170532944e-12,0.000000000000000000e+00,2.298294938682492417e-14,0.000000000000000000e+00,5.449088947026779454e-16,0.000000000000000000e+00,7.025713950801989806e-09,0.000000000000000000e+00,7.187270199261319647e-09,0.000000000000000000e+00,1.734018414533604651e-10,0.000000000000000000e+00,1.078722230943490574e-07,0.000000000000000000e+00,7.011829434962360231e-13,0.000000000000000000e+00,6.587365327928592354e-09,0.000000000000000000e+00,3.615791855661017704e-16,0.000000000000000000e+00,1.130451628611739037e-09,1.061115617096697841e-121
